propriedade,custo_ha,area_ha,adubo_kg,distancia_km,tecnologia
PR-052,3116.1,181,318.1,20,0
PR-053,3749.74,1401,360.8,319,0
PR-054,3083.67,154,394.6,12,1
PR-055,2949.74,1452,338.1,29,1
PR-056,3308.18,1169,370.8,10,0
PR-057,2599.24,371,190.0,84,0
PR-058,2711.49,726,283.6,51,1
PR-059,2775.44,1169,277.3,35,0
PR-060,2677.36,493,325.4,61,0
PR-061,2923.51,340,333.3,41,0
PR-062,3211.28,1169,354.1,298,1
PR-063,2865.73,1090,328.1,16,1
PR-064,3012.61,1677,337.8,264,0
PR-065,3201.56,276,310.2,106,0
PR-066,2856.68,881,367.7,118,1
PR-067,3143.71,658,318.6,40,0
PR-068,2510.28,1521,243.7,18,1
PR-069,2783.18,515,384.3,19,1
PR-070,2755.74,273,311.2,34,1
PR-071,3265.31,872,390.9,94,0
PR-072,2735.51,157,326.9,9,0
PR-073,2960.26,282,314.7,14,0
PR-074,2601.61,570,306.2,63,1
PR-075,3085.57,1785,234.6,321,0
PR-076,3385.67,195,370.3,292,0
PR-077,3702.19,442,458.6,36,0
PR-078,2751.33,457,300.5,25,0
PR-079,3116.04,121,345.1,150,0
PR-080,3265.25,914,315.9,386,1
PR-081,2720.84,395,262.8,115,1
PR-082,2682.8,511,266.8,10,0
PR-083,2919.88,772,383.1,112,1
PR-084,3103.35,229,375.1,118,0
PR-085,2820.27,234,292.4,50,0
PR-086,3194.14,2096,383.3,151,0
PR-087,2984.56,626,299.8,29,0
PR-088,2688.86,1636,290.8,55,0
PR-089,3135.88,2217,297.3,213,1
PR-090,2974.86,900,411.1,95,1
PR-091,3134.61,291,362.8,95,1
PR-092,2640.98,3157,304.1,9,1
PR-093,3867.16,536,395.4,271,0
PR-094,3722.83,407,374.6,327,0
PR-095,2889.31,930,312.8,204,0
PR-096,2550.57,1406,223.9,31,0
PR-097,3373.87,1047,270.2,376,0
PR-098,2773.37,478,274.0,131,1
PR-099,2934.31,1459,350.9,22,0
PR-100,2997.13,355,343.8,53,0
PR-101,2970.85,934,374.3,57,1
PR-102,2850.6,540,283.1,72,0
PR-103,2837.77,302,292.2,37,0
PR-104,3278.94,1205,479.0,37,0
PR-105,3006.18,1011,379.8,14,0
PR-106,3259.93,427,447.7,12,1
PR-107,2698.41,411,352.2,28,0
PR-108,2517.17,743,338.0,29,1
PR-109,2682.79,1545,322.2,12,0
PR-110,3413.07,2258,372.0,306,0
PR-111,3131.78,452,484.0,17,1
PR-112,3008.87,1202,333.1,20,0
PR-113,2818.96,1658,330.0,67,0
PR-114,3097.88,272,350.7,59,1
PR-115,2766.33,635,260.8,8,0
PR-116,3179.87,197,313.3,77,0
PR-117,2868.38,626,317.1,29,0
PR-118,3134.11,1226,357.3,65,0
PR-119,3111.0,895,380.3,255,0
PR-120,3830.4,1481,404.9,342,0
PR-121,3084.6,741,339.6,88,0
PR-122,3194.84,259,377.8,89,0
PR-123,2963.7,659,347.6,181,1
PR-124,2639.45,2398,298.3,21,1
PR-125,2551.32,244,228.1,21,0
PR-126,3007.56,4412,364.8,20,1
PR-127,3250.84,641,315.4,301,0
PR-128,3028.1,624,332.6,9,0
PR-129,3161.19,318,360.2,22,0
PR-130,2942.34,2398,316.7,14,0
PR-131,3062.87,66,366.9,24,0
PR-132,2755.53,1063,366.9,14,0
PR-133,2871.63,2414,390.2,17,0
PR-134,3382.39,770,349.0,207,0
PR-135,2634.58,868,254.0,148,1
PR-136,2772.88,3770,302.1,38,0
PR-137,3387.11,234,398.2,86,0
PR-138,2716.08,1380,355.7,37,0
PR-139,3096.73,334,399.3,21,1
PR-140,3528.48,688,455.3,229,0
PR-141,2972.29,2048,393.4,17,1
PR-142,3264.43,363,339.4,352,1
PR-143,2845.55,942,381.6,22,1
PR-144,2630.52,276,290.5,23,1
PR-145,3494.61,623,434.7,68,0
PR-146,2552.9,1126,351.6,28,0
PR-147,2610.66,1064,270.0,40,0
PR-148,3369.02,511,392.4,162,0
PR-149,2804.6,595,339.8,32,1
PR-150,3195.93,818,407.9,15,0
PR-151,2834.04,517,331.4,61,0
PR-152,2629.18,398,334.3,11,1
PR-153,3298.17,4379,374.3,15,0
PR-154,3309.99,844,438.2,38,0
PR-155,2897.14,320,272.0,349,1
PR-156,3066.71,9957,315.7,183,0
PR-157,2825.75,1324,334.6,141,0
PR-158,3429.44,471,355.2,225,0
PR-159,2688.89,828,251.8,103,1
PR-160,2764.02,496,323.7,73,1
PR-161,3014.83,2059,359.5,167,1
PR-162,3019.55,2085,320.6,22,0
PR-163,3514.79,167,365.4,319,0
PR-164,2836.76,263,293.2,207,1
PR-165,3400.4,757,386.0,58,0
PR-166,3293.49,316,364.2,185,0
PR-167,2978.02,598,321.4,67,0
PR-168,2753.27,638,345.4,16,0
PR-169,3126.72,2155,373.3,34,0
PR-170,2537.79,2343,249.9,21,0
PR-171,3169.88,1617,353.6,11,0
PR-172,2582.02,293,248.7,21,1
PR-173,2665.79,557,407.2,36,0
PR-174,3097.8,415,395.8,72,1
PR-175,2970.5,794,279.2,114,0
PR-176,3028.07,780,383.8,129,1
PR-177,3105.7,587,357.6,30,0
PR-178,3589.05,1412,335.6,322,0
PR-179,3129.57,892,351.5,172,0
PR-180,3111.55,380,339.5,360,1
PR-181,2769.55,1165,245.1,94,0
PR-182,3224.84,782,428.0,26,0
PR-183,3270.03,906,258.6,308,0
PR-184,2464.21,1123,276.9,40,0
PR-185,3512.47,567,410.1,331,0
PR-186,2643.02,1530,239.8,59,0
PR-187,2888.26,434,314.7,23,0
PR-188,2521.29,5404,308.2,26,1
PR-189,2628.26,1665,297.3,20,1
PR-190,3076.46,1783,318.9,206,1
PR-191,2790.85,337,349.6,23,0
PR-192,2772.31,928,316.2,28,0
PR-193,2735.08,299,274.0,224,1
PR-194,2741.24,343,403.7,65,0
PR-195,3164.89,1204,312.8,390,1
