horas,filhos6,filhos6_18,idade,esc,salario,horas_marido,idade_marido,esc_marido,sal_marido,renda_fam,tmi,esc_mae,esc_pai,desemprego,exper
1324,0,4,35,12,7.552899837493896,2123,40,10,4.710299968719482,20300,0.6915000081062317,12,7,5.0,9
2215,0,2,42,16,3.505199909210205,4160,48,16,3.13100004196167,30419,0.6215000152587891,10,16,7.5,5
1680,0,0,30,12,3.5713999271392822,2000,35,12,4.0,14090,0.7214999794960022,12,10,3.0,11
1600,0,0,48,13,3.25,2420,52,17,7.222700119018555,22679,0.6614999771118164,7,3,5.0,18
800,0,0,45,12,3.25,1150,53,17,7.965199947357178,12160,0.7214999794960022,7,7,11.0,15
1955,1,1,31,12,2.1545000076293945,2024,31,12,4.088399887084961,12487,0.7515000104904175,12,7,5.0,4
660,0,2,43,17,3.787899971008301,1904,43,17,14.180999755859377,29850,0.5814999938011169,16,14,9.5,21
525,0,0,59,12,4.0,2448,53,16,6.535900115966797,18100,0.6915000081062317,3,7,9.5,31
1904,0,3,32,12,4.726900100708008,2000,33,13,8.5,26000,0.6614999771118164,3,7,11.0,9
1516,1,0,31,17,7.255899906158447,2390,30,17,6.276199817657471,26100,0.6215000152587891,12,12,5.0,7
346,0,0,42,12,5.867099761962891,1920,47,10,5.2083001136779785,17730,0.7214999794960022,12,12,9.5,7
1040,0,0,50,11,1.53849995136261,1840,53,10,2.782099962234497,6719,0.7515000104904175,7,7,7.5,32
732,0,0,59,16,2.4590001106262207,3360,57,17,4.910699844360352,18550,0.6915000081062317,3,3,14.0,11
1880,0,2,36,13,5.851099967956543,2284,35,13,5.866899967193604,24600,0.6614999771118164,12,10,7.5,16
1680,0,1,51,12,3.5713999271392822,1875,50,8,7.519999980926514,23100,0.6915000081062317,7,14,5.0,14
2081,0,3,45,16,3.80679988861084,2140,47,17,7.544899940490723,24656,0.6614999771118164,12,12,5.0,27
690,0,1,42,11,2.4637999534606934,1896,44,8,5.538000106811523,15897,0.7515000104904175,10,3,7.5,0
4210,0,0,46,12,2.3752999305725098,1040,49,16,6.923099994659424,20320,0.6915000081062317,3,3,11.0,17
2205,0,1,46,10,4.535099983215332,2200,52,12,5.0,21384,0.6614999771118164,10,3,11.0,28
1952,0,0,51,14,5.618299961090088,1952,58,12,7.306399822235107,25561,0.6215000152587891,7,7,14.0,24
1302,0,0,30,17,14.630999565124512,1560,30,17,11.218000411987305,36550,0.5799999833106995,14,17,5.0,11
112,1,2,30,12,2.6786000728607178,4030,33,16,3.846199989318848,15810,0.7214999794960022,12,12,3.0,1
893,0,0,57,12,3.9193999767303462,2570,58,12,5.836599826812744,25500,0.6215000152587891,9,9,7.5,14
583,1,2,31,16,2.5729000568389893,1530,34,16,13.725000381469728,24000,0.6614999771118164,14,16,9.5,6
480,0,2,48,12,4.537499904632568,3149,48,8,6.349299907684326,22172,0.6614999771118164,3,3,5.0,10
1900,0,3,30,12,2.0,2690,32,12,5.252799987792969,17930,0.7214999794960022,12,7,5.0,6
576,0,2,34,12,3.4721999168396,3096,33,12,1.3075000047683716,7000,0.781499981880188,12,7,3.0,4
2056,0,2,48,16,2.0160999298095703,2552,53,16,2.799799919128418,25300,0.7214999794960022,14,16,5.0,10
1984,0,0,45,12,4.571599960327148,2040,47,11,2.6960999965667725,16212,0.7214999794960022,10,10,11.0,22
2640,0,0,51,12,2.272700071334839,2180,50,13,7.56879997253418,22650,0.6614999771118164,7,7,3.0,16
240,0,2,30,12,2.637500047683716,1864,37,12,3.407700061798096,6985,0.781499981880188,12,7,14.0,6
1173,0,1,46,12,2.289900064468384,2068,46,12,6.54010009765625,30000,0.6915000081062317,7,7,11.0,12
3640,0,0,58,12,1.0988999605178833,2010,58,12,7.213900089263916,18500,0.6915000081062317,7,3,9.5,32
340,0,8,37,12,1.1764999628067017,2152,40,10,6.273200035095215,16658,0.7515000104904175,12,7,5.0,15
500,0,0,52,8,1.600000023841858,1496,54,11,5.882400035858154,10300,0.7515000104904175,7,7,5.0,17
1599,0,0,52,10,1.8761999607086184,2100,47,4,3.809499979019165,11000,0.7515000104904175,7,3,7.5,34
1830,0,0,31,16,4.043700218200684,1960,35,14,6.377600193023682,19900,0.6915000081062317,12,12,7.5,9
1920,0,0,55,14,9.63539981842041,1985,55,15,6.045300006866455,32500,0.6399999856948853,7,7,14.0,37
2052,0,0,34,17,8.040900230407715,2020,33,17,8.81190013885498,37300,0.5799999833106995,17,17,7.5,10
2312,0,0,55,14,4.598999977111816,2178,56,16,8.876500129699707,30018,0.5814999938011169,17,7,11.0,35
196,0,2,39,12,2.142899990081787,3684,39,12,3.3420000076293945,12807,0.7515000104904175,12,7,14.0,6
2500,0,3,40,14,4.400000095367432,5010,42,13,3.1835999488830566,39500,0.5515000224113464,14,3,7.5,19
1980,0,4,43,12,3.535399913787842,1880,47,12,6.914899826049805,22050,0.6915000081062317,12,12,9.5,10
1840,0,0,48,8,2.717400074005127,1904,56,8,5.514699935913086,15500,0.7214999794960022,7,7,14.0,11
320,0,0,47,12,6.25,2083,47,12,5.280799865722656,13810,0.7214999794960022,7,7,9.5,15
419,0,4,41,12,11.93299961090088,2125,44,12,3.200000047683716,11950,0.7515000104904175,7,7,5.0,12
1880,0,0,36,8,3.593100070953369,1985,37,12,5.879099845886231,19175,0.6915000081062317,12,12,7.5,12
72,0,2,46,17,6.944399833679199,2640,48,17,6.25,17900,0.6915000081062317,12,16,7.5,14
120,0,0,34,12,2.916699886322021,2070,51,8,7.487899780273437,15850,0.7214999794960022,12,7,5.0,11
1885,0,3,41,12,3.076900005340576,2107,48,8,6.9766998291015625,27017,0.6915000081062317,7,7,5.0,9
240,0,1,51,12,3.75,2250,54,10,8.0,18900,0.6915000081062317,12,7,5.0,24
1729,0,0,33,12,5.725900173187256,2880,34,16,4.131899833679199,21800,0.6915000081062317,12,12,7.5,12
1850,0,0,52,12,3.6756999492645264,1848,53,12,14.47599983215332,33552,0.5515000224113464,10,10,7.5,13
2033,0,0,58,9,5.16480016708374,1927,53,7,5.734300136566162,22650,0.6614999771118164,7,9,7.5,29
608,2,4,34,10,8.223699569702148,1304,38,9,3.3742001056671143,15200,0.7914999723434448,0,0,7.5,11
1153,0,1,31,12,4.33650016784668,3000,35,12,1.833299994468689,13120,0.7214999794960022,7,10,7.5,13
2208,0,1,48,12,4.981900215148926,1892,52,12,5.602499961853027,21660,0.6614999771118164,12,14,5.0,19
252,0,2,32,12,0.3571000099182129,3644,32,12,4.297500133514404,18190,0.7214999794960022,7,7,3.0,2
337,0,0,49,17,2.967400074005127,1430,47,17,3.916100025177002,9600,0.7515000104904175,3,3,14.0,24
90,2,2,32,15,1.0,2350,31,14,4.878699779510498,13755,0.7515000104904175,10,12,7.5,9
1174,0,0,58,12,2.5553998947143555,1948,59,16,9.24020004272461,35350,0.6614999771118164,7,12,7.5,6
372,0,0,50,6,0.8601999878883362,1804,42,12,6.651899814605713,12405,0.7214999794960022,12,7,7.5,22
30,0,0,60,14,1.0,2326,51,12,4.621699810028076,12180,0.7515000104904175,12,17,9.5,30
1800,0,1,50,12,2.926100015640259,1739,55,11,9.97410011291504,22962,0.6614999771118164,7,3,7.5,10
282,0,0,56,14,3.546099901199341,1176,57,17,20.917999267578125,25700,0.6215000152587891,7,7,9.5,6
720,0,0,51,9,1.6263999938964844,1100,55,8,1.940000057220459,3305,0.7914999723434448,7,7,3.0,29
1440,0,1,54,17,8.33329963684082,1528,58,17,8.835100173950195,32950,0.5814999938011169,7,12,5.0,29
2100,0,0,59,13,3.095200061798096,2250,52,15,4.6666998863220215,17000,0.6915000081062317,7,7,5.0,36
1000,0,2,46,9,2.700000047683716,1927,47,10,5.18940019607544,13250,0.7515000104904175,7,7,5.0,19
952,0,1,46,15,5.252099990844727,2414,47,16,18.724000930786133,50750,0.4415000081062317,7,12,5.0,8
1413,1,3,39,12,1.4154000282287598,768,49,8,10.416999816894531,15632,0.7714999914169312,10,10,14.0,13
2100,0,2,44,12,4.798600196838379,1984,43,14,8.845800399780273,28316,0.6215000152587891,7,0,11.0,16
120,2,0,33,12,1.666700005531311,2246,36,12,7.568999767303467,17290,0.7214999794960022,12,12,9.5,11
3000,1,2,33,12,1.1217000484466553,3024,30,17,4.450699806213379,33600,0.6215000152587891,10,10,7.5,15
1000,0,2,48,12,0.5,2921,52,12,9.32040023803711,29200,0.6215000152587891,12,7,9.0,6
336,0,4,31,12,0.7142999768257141,2045,37,17,9.168700218200684,19870,0.6915000081062317,7,7,11.0,13
1216,0,1,45,12,2.796099901199341,1928,44,12,6.483399868011475,16225,0.7214999794960022,7,7,11.0,22
988,0,1,45,12,4.85830020904541,1920,44,10,7.8125,28600,0.6915000081062317,7,3,5.0,24
2581,0,2,32,13,1.743499994277954,2280,37,17,11.404000282287598,30800,0.5814999938011169,14,12,7.5,2
2030,0,0,47,12,2.463099956512451,2300,47,17,5.086999893188477,25700,0.6915000081062317,7,7,3.0,6
413,0,2,34,13,2.421299934387207,2480,35,13,6.975800037384033,27000,0.6215000152587891,12,12,3.0,2
782,0,1,37,12,1.534500002861023,1135,34,10,5.286300182342529,12077,0.7714999914169312,12,7,9.5,2
1388,0,1,36,12,2.881799936294556,1384,39,12,11.562000274658203,29612,0.6614999771118164,7,7,11.0,14
1450,1,2,47,12,2.406899929046631,1848,50,14,8.606100082397461,24479,0.6915000081062317,7,10,9.5,9
1720,0,1,48,16,5.232600212097168,2499,46,17,12.80500030517578,79750,0.4415000081062317,14,14,7.5,11
800,0,2,42,12,3.75,2390,43,12,6.6946001052856445,20050,0.6915000081062317,12,7,11.0,9
360,0,3,33,13,1.3889000415802002,2400,44,14,8.33329963684082,21500,0.6915000081062317,10,12,11.0,6
2000,0,0,46,11,4.0,1920,53,8,4.1666998863220215,16120,0.6915000081062317,7,7,5.0,19
1176,0,3,47,12,3.231300115585327,2301,48,13,5.475900173187256,24686,0.7214999794960022,7,7,9.5,26
2058,0,1,44,12,3.401400089263916,1944,43,10,5.144000053405762,24669,0.6915000081062317,7,10,9.5,19
900,0,4,36,12,1.333299994468689,2100,37,17,11.666999816894531,26400,0.6614999771118164,7,7,7.5,3
215,2,0,31,17,9.302300453186035,1920,32,16,7.291699886322021,16245,0.7214999794960022,12,12,7.5,7
2000,0,0,55,14,4.5,2880,55,14,4.861100196838379,23300,0.6614999771118164,7,7,9.5,28
757,0,1,45,16,4.623499870300293,1932,48,16,12.163999557495115,27200,0.6215000152587891,12,7,9.5,13
1264,0,0,47,17,3.955699920654297,3234,48,17,10.822999954223633,51000,0.4614999890327453,10,17,9.5,9
2064,0,3,46,12,5.814000129699707,2805,47,12,12.477999687194824,55000,0.4614999890327453,10,7,14.0,15
1280,0,0,49,11,0.5,2272,52,9,6.162000179290772,15389,0.7214999794960022,7,7,7.5,20
1715,0,0,49,12,4.081600189208984,2227,52,14,7.184599876403809,23150,0.6614999771118164,7,7,9.5,29
2000,0,2,45,12,6.0,1720,49,6,7.0929999351501465,29774,0.6215000152587891,7,10,14.0,9
12,1,3,38,17,3.6666998863220215,2300,38,13,17.826000213623047,91044,0.4415000081062317,12,10,14.0,1
1528,0,0,47,10,3.861299991607666,3410,50,12,6.39300012588501,28200,0.5814999938011169,7,12,14.0,8
561,0,3,54,13,2.762900114059448,2304,57,16,11.718999862670898,36150,0.5515000224113464,7,7,9.5,19
2058,0,0,41,11,2.930999994277954,1984,42,12,4.788300037384033,15652,0.7214999794960022,12,12,7.5,23
1823,0,2,43,12,4.388400077819824,1890,33,14,4.232800006866455,18900,0.7515000104904175,14,7,11.0,3
1680,1,1,31,16,5.4166998863220215,1970,32,12,7.106599807739258,23600,0.6614999771118164,12,10,7.5,13
1440,0,0,47,17,9.86110019683838,2400,46,12,8.33329963684082,36200,0.6100000143051147,7,7,7.5,8
4950,0,2,35,12,0.1615999937057495,2504,37,12,6.988800048828125,18700,0.6915000081062317,10,10,7.5,17
1176,0,3,45,16,0.3826000094413757,2398,48,17,9.591300010681152,24125,0.6614999771118164,7,7,11.0,4
1100,1,0,33,12,3.636399984359741,1960,39,12,6.020400047302246,15800,0.7214999794960022,7,7,7.5,15
1516,0,1,54,16,2.3747000694274902,2550,55,12,2.968600034713745,19742,0.7214999794960022,12,7,3.0,11
900,0,4,35,8,4.6666998863220215,2500,41,12,7.0,22600,0.6915000081062317,10,7,9.5,7
1080,1,2,31,12,1.8518999814987185,2164,37,10,7.162700176239014,17500,0.7214999794960022,7,7,7.5,0
480,0,0,55,12,5.199999809265137,2640,60,12,4.736400127410889,19820,0.6915000081062317,7,7,7.5,0
288,0,2,34,12,3.2985999584198,1936,36,12,8.781000137329102,20155,0.6915000081062317,12,16,11.0,10
1875,0,1,38,13,8.533300399780273,2136,41,12,9.831500053405762,37300,0.5799999833106995,10,12,7.5,8
630,0,1,45,11,2.063499927520752,1955,51,10,6.649600028991699,24860,0.7214999794960022,7,7,7.5,2
234,0,1,47,12,2.5641000270843506,1980,48,10,9.84850025177002,21450,0.6614999771118164,12,3,7.5,4
1600,0,2,39,12,2.1875,2550,42,11,9.803899765014648,29650,0.6215000152587891,7,7,5.0,6
960,1,0,36,14,6.25,2058,37,13,8.26039981842041,23000,0.6614999771118164,7,7,11.0,18
120,1,2,33,12,3.3333001136779785,2263,32,14,9.06760025024414,21120,0.6915000081062317,7,7,9.0,3
2025,0,0,50,12,4.444399833679199,1763,54,13,8.508199691772461,26000,0.6215000152587891,7,12,5.0,22
1809,0,0,58,12,6.633500099182129,2096,59,14,7.156499862670898,28000,0.6215000152587891,3,7,7.5,33
3087,0,0,49,17,8.42240047454834,2059,47,13,7.042300224304199,45500,0.5199999809265137,12,12,11.0,28
910,0,2,41,14,4.395599842071533,1820,40,17,6.593400001525879,16000,0.7214999794960022,16,12,14.0,23
1840,0,1,51,12,2.44569993019104,2832,53,8,4.345699787139893,18232,0.6915000081062317,7,14,11.0,27
784,0,0,53,9,1.2244999408721924,1990,60,10,7.236199855804443,28160,0.7214999794960022,3,7,14.0,11
400,1,2,36,12,1.625,2000,40,7,1.7400000095367432,5965,0.8015000224113464,12,7,11.0,6
1000,0,2,46,12,3.0,1885,46,12,6.896599769592285,19000,0.7214999794960022,7,7,9.5,11
1904,0,2,36,12,4.726900100708008,2860,37,12,5.045499801635742,36872,0.5515000224113464,12,12,11.0,14
1771,0,1,53,14,1.1292999982833862,1913,48,16,17.25,42000,0.4914999902248382,12,12,14.0,17
1486,0,3,40,16,7.402400016784668,1800,54,16,8.33329963684082,26900,0.6215000152587891,16,14,11.0,17
740,0,2,42,17,4.459499835968018,2880,45,16,9.375,30800,0.5814999938011169,12,10,9.0,14
1820,1,1,33,15,2.4725000858306885,1993,32,16,8.279000282287598,21520,0.6915000081062317,12,12,11.0,11
1275,0,3,43,12,1.8824000358581543,2250,47,14,4.5,24795,0.6915000081062317,7,7,7.5,7
450,1,0,31,16,4.0,2286,30,16,4.19950008392334,12900,0.7214999794960022,14,16,14.0,8
1221,0,0,47,17,8.1899995803833,1880,47,16,16.06399917602539,42700,0.4914999902248382,7,7,7.5,6
1550,0,0,54,17,7.096799850463867,2350,58,17,11.277000427246094,38800,0.5214999914169312,10,17,11.0,8
180,1,3,33,12,1.666700005531311,3640,33,11,0.5493999719619751,2500,0.9415000081062316,7,3,3.0,4
2090,0,0,43,16,3.444999933242798,1770,47,14,9.54800033569336,26921,0.6215000152587891,14,10,11.0,25
1960,0,1,46,13,4.234700202941895,1875,49,13,5.3333001136779785,18300,0.6915000081062317,7,9,3.0,24
1440,0,3,35,12,2.7778000831604004,2200,38,9,5.454500198364258,17200,0.7214999794960022,7,7,14.0,11
794,0,3,37,11,1.88919997215271,2033,39,12,5.902599811553955,14209,0.7515000104904175,12,3,9.5,19
993,0,2,37,16,5.035200119018555,2739,39,17,9.857600212097168,32300,0.5814999938011169,12,16,14.0,9
160,0,3,34,14,1.25,1626,38,14,11.6850004196167,21400,0.7214999794960022,17,12,7.5,19
105,1,0,43,16,2.857100009918213,2248,44,17,6.227799892425537,14700,0.7214999794960022,7,7,9.5,14
1200,0,0,46,12,4.116700172424316,2140,48,12,9.174799919128418,25516,0.6215000152587891,7,7,9.5,22
450,0,3,35,9,1.7777999639511108,1985,42,12,6.297200202941895,13300,0.7515000104904175,3,7,5.0,6
996,0,0,46,17,13.553999900817873,1528,59,17,10.470999717712402,31000,0.5814999938011169,12,12,9.5,23
1052,0,0,46,14,4.562699794769287,1920,48,16,14.583000183105469,48800,0.4914999902248382,7,3,11.0,15
1128,0,2,43,12,2.127700090408325,1918,46,10,6.214300155639648,15519,0.7214999794960022,7,7,14.0,6
1840,0,0,30,12,2.9890999794006348,2112,30,12,6.628799915313721,19500,0.6915000081062317,7,7,7.5,11
1910,0,2,41,11,2.5653998851776123,2144,46,9,3.824599981307984,14545,0.7214999794960022,3,7,5.0,2
980,0,1,54,12,5.612199783325195,1920,54,15,7.8125,22897,0.6915000081062317,7,7,14.0,22
2317,0,1,31,12,2.8053998947143555,2241,41,9,3.480600118637085,14300,0.7214999794960022,10,10,7.5,10
1089,0,0,44,10,1.6069999933242798,880,47,11,5.550000190734863,14884,0.7515000104904175,10,10,9.5,14
800,0,1,32,12,2.25,2070,31,16,11.593999862670898,27400,0.6215000152587891,12,7,11.0,12
1230,0,0,47,5,2.032500028610229,1050,53,5,9.523799896240234,16400,0.7214999794960022,7,12,14.0,9
1158,0,1,46,17,5.5320000648498535,2635,57,17,7.280499935150146,25704,0.6215000152587891,14,17,7.5,13
2272,0,0,37,11,1.5844999551773071,3000,47,8,3.0,12800,0.7214999794960022,10,10,7.5,18
528,0,2,51,12,3.787899971008301,2500,50,11,10.399999618530272,40000,0.6215000152587891,7,7,7.5,8
1000,0,1,49,12,3.0,1990,49,12,10.050000190734863,47000,0.6614999771118164,7,7,14.0,11
520,0,4,36,14,8.653800010681152,2390,37,13,8.786600112915039,25872,0.6614999771118164,10,12,9.5,9
760,0,1,39,11,4.2104997634887695,1430,44,12,10.140000343322754,26868,0.6915000081062317,12,7,9.5,9
1920,0,2,48,12,4.6875,1800,50,8,5.0,18000,0.6915000081062317,12,12,9.5,14
1220,0,2,38,14,4.098400115966797,2103,43,17,11.887999534606934,30200,0.5814999938011169,7,7,5.0,9
200,0,2,40,12,25.0,1350,42,12,13.333000183105469,26220,0.6614999771118164,7,7,7.5,2
2480,1,5,39,10,2.6331000328063965,2880,36,17,8.6806001663208,40500,0.5814999938011169,7,7,3.0,12
2750,0,0,37,16,6.0,2400,43,17,7.291699886322021,33570,0.6100000143051147,12,7,7.5,15
2014,0,1,49,13,5.412600040435791,1135,47,12,3.524199962615967,16917,0.7214999794960022,7,14,14.0,11
1355,0,3,33,12,0.6642000079154968,2750,35,17,6.18179988861084,18000,0.7214999794960022,12,7,9.5,7
80,0,0,30,12,1.25,2085,32,16,2.9755001068115234,8337,0.7515000104904175,12,12,11.0,9
1670,0,0,54,12,2.275399923324585,2600,56,8,4.576900005340576,17100,0.7214999794960022,12,7,9.5,19
520,0,4,39,11,3.4614999294281006,3542,40,12,3.105600118637085,17800,0.7515000104904175,10,7,11.0,11
288,0,3,43,12,4.1666998863220215,1975,43,12,5.822800159454346,13740,0.7515000104904175,12,12,14.0,8
2014,0,3,31,9,4.468699932098389,2400,32,12,7.5,27000,0.6215000152587891,10,3,9.5,13
800,0,3,33,13,1.75,3000,37,14,8.33329963684082,32600,0.6215000152587891,12,7,7.5,4
1984,0,3,40,12,3.6693999767303462,1960,39,14,9.234700202941896,28030,0.6614999771118164,12,12,14.0,7
1823,0,1,36,12,6.582600116729736,2000,39,9,5.5,23100,0.6614999771118164,12,12,3.0,19
1500,0,0,51,12,2.5999999046325684,3000,51,12,6.0,24580,0.6614999771118164,7,7,9.5,14
2261,0,1,44,13,4.865099906921387,2400,43,12,6.6666998863220215,29000,0.6215000152587891,12,7,9.5,14
1728,0,3,42,16,5.787000179290772,2450,48,14,13.060999870300291,42430,0.5214999914169312,12,14,9.5,3
1960,0,1,40,12,4.540800094604492,2423,40,8,12.793999671936035,41800,0.5214999914169312,12,12,7.5,9
1578,1,1,34,16,9.50570011138916,2000,33,16,12.0,39100,0.5799999833106995,12,17,9.5,7
1316,0,0,30,17,10.637999534606934,2526,41,16,6.730000019073486,31800,0.5814999938011169,16,17,11.0,7
1530,0,0,54,12,1.1110999584197998,2695,53,12,6.678999900817871,22200,0.6915000081062317,7,7,14.0,14
2220,0,0,51,12,4.054100036621094,2048,54,12,4.394499778747559,19500,0.6915000081062317,16,7,3.0,29
1336,0,2,44,9,2.687099933624268,1920,46,11,4.6875,14027,0.7515000104904175,7,10,11.0,19
1008,0,1,43,12,2.9762001037597656,2338,42,9,7.69890022277832,21195,0.6614999771118164,7,7,11.0,14
1944,0,1,34,12,3.172800064086914,2945,37,8,4.328700065612793,19013,0.6915000081062317,10,7,7.5,16
2000,0,0,45,13,3.549999952316284,2047,52,12,6.741600036621094,20900,0.6614999771118164,12,7,11.0,10
258,0,0,39,12,17.906999588012695,1668,47,7,9.352499961853027,26820,0.6215000152587891,10,3,11.0,12
1785,0,0,50,12,3.417399883270264,175,48,10,9.142900466918944,12800,0.7515000104904175,0,0,14.0,24
480,0,0,52,12,3.3333001136779785,1798,53,12,2.6417999267578125,7850,0.7515000104904175,7,7,14.0,6
772,0,2,41,12,3.885999917984009,1222,45,12,7.364999771118164,18600,0.7214999794960022,12,12,7.5,9
900,0,0,59,10,2.311100006103516,1820,59,7,1.406599998474121,5380,0.7714999914169312,12,7,5.0,14
1428,0,0,52,12,1.710800051689148,1560,60,8,1.5191999673843384,6114,0.7714999914169312,10,7,14.0,26
210,0,0,46,16,2.114300012588501,2210,49,12,3.343899965286255,8234,0.7515000104904175,12,12,14.0,7
239,1,5,41,12,9.933099746704102,2874,48,16,2.910599946975708,20646,0.7214999794960022,3,7,11.0,4
1878,0,2,33,11,3.0276999473571777,2499,35,8,4.383399963378906,16640,0.7214999794960022,7,7,9.5,15
215,0,0,45,12,1.8604999780654907,3088,38,12,4.209799766540527,13900,0.7214999794960022,12,12,5.0,23
2340,1,2,36,10,0.1281999945640564,2020,37,8,3.712899923324585,11500,0.781499981880188,10,7,7.5,1
1960,0,1,48,12,6.632699966430664,1980,56,10,10.605999946594238,34000,0.5515000224113464,7,7,14.0,29
532,0,1,47,12,5.639100074768066,1968,47,11,8.638199806213379,28700,0.6614999771118164,7,3,11.0,9
394,0,0,45,12,1.5989999771118164,2100,45,12,3.836699962615967,9563,0.7515000104904175,7,7,7.5,6
675,0,2,37,12,2.666699886322021,2651,48,17,7.167099952697754,20960,0.6915000081062317,7,7,7.5,11
1515,0,4,46,16,7.92080020904541,1918,49,14,8.86340045928955,38590,0.6215000152587891,12,10,14.0,17
1030,0,3,43,17,5.339799880981445,2585,46,16,7.736899852752685,27900,0.6614999771118164,12,12,5.0,6
1250,0,2,42,12,4.0,2250,46,17,9.17020034790039,25633,0.6215000152587891,7,7,7.5,7
1158,1,2,34,17,6.044899940490723,2480,39,17,11.289999961853027,35200,0.5515000224113464,12,12,7.5,2
112,0,0,52,12,6.25,2924,53,12,6.326900005340576,29500,0.5814999938011169,7,7,7.5,24
336,0,3,37,12,2.9762001037597656,1896,52,9,4.746799945831299,10000,0.7515000104904175,10,7,7.5,4
1984,0,1,37,12,4.23390007019043,2332,40,12,4.888500213623047,19800,0.6915000081062317,10,7,5.0,11
716,0,0,52,8,3.4916000366210938,3482,59,7,2.4842000007629395,12900,0.7214999794960022,7,7,5.0,25
1410,1,0,30,12,4.964499950408936,2106,30,14,8.54699993133545,26080,0.6215000152587891,12,12,7.5,11
1300,0,1,31,13,2.769200086593628,1160,32,12,6.637899875640869,13066,0.7515000104904175,17,7,11.0,2
1640,0,1,38,12,3.658499956130981,2040,46,12,3.186300039291382,12500,0.7214999794960022,7,7,7.5,19
1202,0,3,43,12,5.393499851226807,2856,48,16,4.546599864959717,35600,0.5814999938011169,7,7,9.0,7
489,0,1,49,8,0.6564000248908997,950,51,8,12.788999557495115,19424,0.7515000104904175,7,7,5.0,2
2076,0,0,55,12,4.768799781799316,2068,58,10,6.527999877929688,26250,0.6614999771118164,7,7,5.0,20
526,0,2,38,17,8.555100440979004,1896,42,17,16.402999877929688,36525,0.5515000224113464,12,14,9.5,10
1721,0,0,52,17,10.458999633789062,2000,56,16,7.0,34700,0.6100000143051147,14,17,14.0,19
1327,0,0,48,12,2.637500047683716,288,51,11,13.541999816894531,8311,0.7515000104904175,7,7,11.0,17
584,0,2,32,13,6.849299907684326,2160,33,12,6.7129998207092285,28626,0.6915000081062317,12,10,11.0,12
1376,0,1,32,12,5.087200164794922,3120,33,17,5.448699951171875,24400,0.6614999771118164,7,7,5.0,11
1040,0,2,38,12,0.9614999890327454,1944,41,17,6.68720006942749,14025,0.7214999794960022,7,7,7.5,6
548,0,3,46,12,4.306600093841553,2046,47,12,9.094300270080566,21367,0.6915000081062317,16,12,14.0,10
15,0,3,40,12,7.066699981689453,2005,42,9,6.533699989318848,14136,0.7515000104904175,7,7,7.5,4
1980,0,4,31,9,2.5253000259399414,2070,36,10,4.685999870300293,19900,0.7515000104904175,10,7,5.0,2
1520,0,1,43,10,7.894700050354004,3000,50,12,8.0,37000,0.5214999914169312,12,9,9.5,13
1880,0,0,51,12,4.148900032043457,2640,51,12,4.052999973297119,18500,0.6915000081062317,7,7,7.5,21
1260,1,0,30,16,8.174599647521973,2450,34,17,8.163299560546875,34550,0.5515000224113464,16,14,5.0,9
1092,0,0,52,13,9.597100257873535,1000,53,15,16.5,49620,0.4614999890327453,10,7,11.0,4
