salario_hora,escolaridade,experiencia,feminino
24.0,13,4,0
23.52,12,0,0
19.06,15,11,0
23.41,8,19,1
6.0,4,17,1
20.07,11,11,1
17.03,9,8,1
23.02,11,16,0
26.46,16,0,0
13.92,7,8,0
19.05,13,7,1
24.69,14,7,0
25.2,12,15,0
22.45,15,9,1
21.94,9,16,0
17.14,8,26,1
27.18,14,22,0
23.54,13,17,1
32.94,16,20,0
24.74,12,27,1
28.68,16,13,1
22.05,10,3,1
18.94,7,25,0
15.1,4,11,1
15.84,7,32,1
30.22,14,25,1
15.22,6,13,0
23.27,9,6,1
25.41,18,3,1
21.12,14,11,1
36.39,17,20,0
14.9,7,7,1
17.1,4,26,0
17.29,16,0,0
19.09,6,27,1
20.15,11,13,1
24.83,12,15,0
14.3,8,15,1
32.96,16,17,1
27.21,16,13,1
28.09,13,26,0
13.51,11,0,0
20.22,11,7,0
11.41,7,6,0
27.98,10,20,0
18.74,10,1,0
20.47,8,35,1
25.71,14,12,0
24.83,6,27,0
16.87,9,8,1
15.32,4,21,0
31.83,12,18,0
22.79,13,7,1
27.6,13,10,0
35.17,20,19,0
25.71,14,22,1
23.72,8,21,0
35.26,20,23,1
16.14,8,0,0
23.51,13,15,1
24.15,13,9,0
19.88,8,27,1
24.3,16,19,1
28.91,12,22,1
21.5,13,7,0
17.65,9,20,0
29.94,15,19,0
17.77,8,26,1
18.33,5,11,0
29.32,16,5,0
18.94,9,17,0
20.74,11,25,1
33.21,17,14,0
28.06,15,22,0
16.84,13,0,0
17.59,14,9,1
22.96,8,20,0
20.09,13,14,0
20.2,15,0,0
29.92,13,21,0
25.15,10,17,0
7.48,4,15,1
23.55,13,22,1
22.33,11,0,0
19.01,10,10,1
25.32,13,19,0
25.16,12,16,0
21.64,11,12,1
12.8,6,16,0
13.09,6,16,0
27.67,12,20,1
28.14,11,11,0
25.31,11,19,1
18.27,11,0,0
24.34,12,23,0
28.38,11,33,0
25.55,11,18,1
25.95,12,12,1
24.91,14,7,0
23.52,9,21,0
18.55,13,7,0
22.84,13,6,0
24.05,11,0,0
20.51,9,17,0
22.87,12,11,1
28.93,14,10,0
19.06,7,17,1
21.52,11,8,0
21.18,11,15,0
8.53,9,7,1
16.1,9,14,0
15.31,6,15,0
16.88,7,3,0
15.15,6,8,0
21.22,9,11,1
15.06,9,11,0
12.69,9,17,1
25.19,12,10,0
25.63,10,14,1
17.12,8,13,1
12.98,8,0,0
21.12,7,16,0
24.75,10,8,0
16.99,10,13,0
23.52,16,4,1
31.32,16,15,1
27.26,16,10,1
29.53,18,14,0
18.95,7,23,0
20.8,13,8,0
19.77,13,19,1
23.49,12,15,1
21.78,18,0,1
31.29,19,7,0
23.09,14,12,0
27.2,13,22,1
16.2,7,14,0
20.73,7,29,0
21.27,13,18,0
17.61,11,0,1
13.13,6,9,0
20.07,10,19,0
21.97,12,1,0
28.18,14,15,1
30.66,10,26,0
19.44,10,12,1
26.67,11,25,0
22.32,11,24,0
15.6,7,16,0
30.06,14,11,0
27.47,18,10,1
31.35,14,15,1
7.15,6,5,1
19.93,11,13,1
11.58,5,5,0
10.62,5,15,1
21.3,13,10,1
16.2,11,0,1
15.1,8,6,1
13.71,4,16,0
25.65,6,35,0
26.42,11,3,1
25.79,11,15,0
22.39,13,5,1
24.26,16,7,0
21.92,10,22,0
16.54,12,15,1
24.4,10,18,0
16.48,9,19,0
25.38,10,19,0
20.44,14,0,0
18.39,7,20,1
26.96,15,10,1
22.84,16,13,0
21.87,11,20,0
24.03,12,16,1
20.41,6,23,0
32.65,19,0,0
26.1,14,15,0
20.27,11,13,1
28.94,11,13,0
27.54,12,23,0
22.31,9,11,0
21.72,12,8,0
9.03,8,5,1
25.11,12,11,0
21.81,8,25,1
24.3,14,0,1
17.21,10,17,1
17.93,12,0,0
23.92,20,1,0
29.26,14,15,0
25.77,12,9,0
17.82,11,4,0
16.03,7,14,0
25.57,14,19,1
35.43,16,22,1
27.4,11,26,1
35.34,17,15,0
21.94,10,17,0
14.57,5,26,1
21.88,9,6,0
10.37,7,9,0
24.39,10,25,1
20.42,13,19,1
22.09,8,23,1
23.21,11,16,1
15.8,11,7,1
17.72,8,7,0
15.65,8,24,1
19.44,11,22,1
22.55,14,3,0
14.1,9,9,1
20.55,8,15,1
30.87,10,21,0
23.2,12,10,0
18.56,9,8,0
26.45,10,22,0
21.88,10,19,0
18.29,7,11,0
11.51,10,9,1
18.51,9,24,1
18.27,16,0,1
11.16,9,13,1
28.45,12,17,0
21.12,12,14,1
25.82,7,24,0
17.61,7,3,1
20.28,9,15,0
24.44,13,15,0
16.6,9,18,1
13.36,9,20,0
10.48,4,10,0
22.9,9,27,0
22.75,12,17,0
19.61,12,17,1
20.18,12,8,1
20.83,10,16,0
25.12,10,25,0
22.66,14,11,0
28.7,10,16,0
15.49,4,22,1
22.47,14,0,0
15.04,7,15,0
25.47,15,16,0
31.24,17,5,0
23.6,13,12,0
26.28,14,11,0
26.42,17,0,1
18.12,7,23,0
21.78,12,2,0
18.3,12,16,0
13.66,8,15,1
23.35,18,6,0
17.22,9,16,1
17.49,8,22,1
32.05,12,20,0
22.51,14,8,0
18.58,9,14,1
17.84,9,8,1
24.7,13,1,1
20.78,6,25,0
17.34,8,7,1
23.94,8,10,0
15.42,9,18,0
14.57,10,4,1
29.34,17,13,0
22.04,14,5,1
18.1,11,5,0
24.09,10,10,0
22.2,14,5,0
22.18,12,15,0
31.01,14,23,0
26.2,15,16,0
13.34,7,20,1
6.71,4,14,1
19.68,11,12,1
26.36,11,14,0
26.37,12,12,0
20.12,9,16,1
17.23,10,5,1
24.81,13,26,1
21.52,13,1,0
20.42,15,9,1
16.97,4,25,0
17.62,5,12,0
24.99,16,18,0
24.36,13,1,1
15.7,13,6,0
12.71,10,0,1
18.84,9,23,0
17.47,11,4,0
14.27,8,10,1
22.93,6,23,0
15.26,7,19,0
19.68,11,22,1
21.62,13,17,1
28.43,16,17,0
20.47,12,9,0
16.79,12,12,1
29.92,17,15,1
20.48,8,22,0
22.59,8,23,1
22.96,9,9,0
11.33,10,5,1
31.68,18,0,1
22.07,10,10,0
31.18,15,9,0
15.11,9,5,1
23.43,12,11,1
26.16,13,17,1
29.74,13,20,1
19.27,13,7,1
18.29,8,20,0
22.62,16,0,1
27.22,14,6,1
24.63,8,16,0
17.53,13,7,1
18.15,7,10,0
22.98,11,15,0
14.92,7,8,0
27.12,13,13,0
37.14,20,6,1
29.56,16,14,1
25.07,13,18,0
15.35,8,17,1
24.59,12,9,0
30.31,15,18,0
26.07,10,16,0
25.55,11,6,0
14.99,5,19,1
18.06,8,11,1
16.76,5,0,0
31.94,17,1,0
17.63,12,9,1
18.96,13,8,0
11.36,10,2,1
10.05,6,14,0
23.04,11,17,1
13.62,9,6,0
22.4,8,18,0
16.15,11,0,0
25.02,11,17,1
20.29,10,9,1
16.91,8,5,0
22.18,7,25,0
19.24,11,17,0
20.79,15,18,0
12.42,5,20,1
20.44,9,17,1
16.08,10,11,0
24.6,10,17,0
22.22,9,14,0
26.44,17,4,1
24.24,12,11,0
12.75,7,6,1
14.98,4,18,0
17.85,10,17,0
30.02,16,10,1
23.02,11,18,1
15.79,4,16,0
12.16,6,17,1
15.2,11,13,1
34.51,14,26,0
14.54,11,3,0
25.82,11,29,0
23.92,14,5,0
25.28,15,8,1
21.0,8,18,0
22.81,12,17,1
11.9,8,15,1
15.44,7,18,1
27.69,13,23,0
24.63,6,38,0
24.18,11,16,0
27.13,12,18,1
28.66,14,10,0
17.12,7,29,0
23.81,12,12,0
22.0,10,18,1
22.02,16,1,1
20.11,8,0,0
21.06,7,34,0
20.55,13,20,1
12.94,8,23,1
11.19,6,10,1
19.2,14,0,1
19.89,12,11,1
6.0,4,19,1
20.77,8,21,0
19.91,7,16,1
25.52,13,22,0
31.15,16,12,0
26.91,18,10,1
22.54,13,21,1
21.34,7,11,0
19.32,7,19,1
21.11,8,11,0
30.48,12,7,0
30.58,15,22,0
14.97,4,27,1
26.71,13,16,0
34.0,14,21,0
27.91,12,15,0
32.84,20,17,0
18.17,13,5,1
21.62,11,12,1
27.72,13,15,0
19.95,9,7,0
16.55,7,11,1
18.47,12,3,1
28.99,15,16,1
22.76,10,10,0
21.51,14,13,1
16.24,10,18,1
26.77,16,8,1
22.61,12,13,0
18.25,13,13,1
28.66,13,15,0
19.52,6,28,1
23.98,10,5,0
27.66,17,10,1
20.43,11,4,0
26.63,16,21,0
28.04,14,0,0
18.43,5,19,0
27.4,13,9,0
14.03,7,12,1
23.12,12,18,1
20.71,9,19,1
15.96,11,6,1
21.07,11,17,0
29.47,12,15,1
20.05,9,9,0
9.44,6,6,1
15.08,7,23,0
23.71,14,17,0
29.8,17,13,1
17.15,12,8,1
25.15,14,21,0
30.86,14,38,1
18.55,6,18,0
20.49,4,23,0
15.99,11,7,1
10.47,4,12,0
26.78,10,28,0
20.35,6,35,0
20.77,9,13,1
16.11,8,10,0
16.06,13,4,1
14.5,9,10,1
12.91,7,17,0
17.97,11,3,0
33.1,20,1,0
26.12,12,20,0
13.88,4,17,0
14.36,11,7,1
28.47,20,0,0
21.68,11,22,1
23.7,15,2,1
35.75,15,9,0
24.91,15,18,1
28.42,14,15,1
20.48,12,15,0
18.47,10,16,0
12.39,10,6,0
16.08,11,7,1
26.48,12,9,0
12.12,6,0,0
22.85,10,11,1
18.46,11,12,1
26.04,11,12,0
17.19,10,13,1
27.36,14,12,1
25.69,10,16,1
24.35,10,27,0
11.48,7,17,1
25.38,8,22,1
19.49,12,8,0
21.44,11,16,0
14.28,4,21,0
28.71,14,9,0
17.86,8,2,0
18.58,8,5,0
25.2,15,14,1
24.37,15,10,1
21.41,8,13,0
25.95,10,9,0
11.84,7,17,1
31.87,14,16,0
33.67,14,26,0
22.79,9,15,0
25.53,16,8,0
27.03,14,13,0
25.45,10,23,0
25.76,13,30,1
21.2,5,22,0
14.76,10,3,1
29.4,12,13,0
12.81,11,4,1
21.58,18,0,1
19.21,12,27,1
23.58,12,10,1
12.2,6,11,0
21.81,10,25,0
20.56,8,16,1
35.91,19,0,0
17.89,9,15,0
22.27,11,2,1
27.44,15,4,0
25.32,13,13,0
8.08,6,0,0
21.82,13,18,0
23.76,13,14,1
24.01,10,21,0
18.64,12,10,1
18.2,11,17,1
10.17,6,9,0
17.7,9,8,1
23.2,11,14,1
20.93,9,15,1
25.12,13,12,1
25.22,14,22,1
29.05,12,11,0
17.07,10,18,1
30.05,15,13,0
21.81,11,15,0
20.93,12,16,0
13.26,8,2,0
20.28,10,10,1
32.48,14,20,0
25.65,13,10,0
10.9,10,20,1
24.25,11,17,1
11.58,11,0,0
21.02,8,5,1
20.95,10,9,0
17.54,9,10,1
19.71,6,14,0
20.83,11,10,0
16.91,10,8,1
12.2,6,12,1
13.32,8,0,1
27.44,11,29,0
16.67,4,30,1
13.25,11,21,0
23.4,12,12,0
17.53,13,5,0
35.68,9,35,0
17.86,6,10,0
31.43,13,23,0
19.54,6,20,0
23.38,13,5,1
13.6,9,9,1
17.93,7,13,1
23.52,12,8,1
25.06,15,0,0
23.33,10,18,1
21.27,10,7,1
17.71,5,24,0
19.86,14,10,1
26.12,11,15,0
27.25,10,15,0
22.22,15,7,0
19.79,5,17,0
21.74,9,16,0
28.07,11,32,1
19.69,10,4,1
9.52,4,13,0
22.13,12,10,1
23.48,11,3,0
28.38,14,1,0
31.57,18,0,0
18.36,10,14,0
21.26,12,8,1
21.36,12,14,1
19.84,11,2,0
23.57,10,7,0
21.12,12,20,0
30.77,15,16,0
17.41,8,3,0
25.85,17,15,1
27.67,13,7,0
17.37,12,4,1
16.49,4,24,0
15.56,11,20,0
15.49,7,0,1
23.99,13,19,1
23.96,14,7,0
31.27,15,6,0
11.89,10,11,1
28.27,11,22,0
30.28,12,22,0
8.48,4,21,0
23.16,9,21,0
21.59,9,31,1
19.04,13,11,1
11.39,9,6,1
28.79,13,16,0
25.05,10,19,1
19.57,14,9,1
24.75,18,6,1
33.89,16,26,1
34.17,14,9,0
19.81,15,3,0
10.45,10,0,1
17.32,8,22,0
16.11,8,25,1
22.21,11,4,1
23.98,16,14,1
26.62,8,13,0
23.61,12,13,1
20.39,7,11,0

