obs,salario,feminino,nao_branco,sindicato,escolaridade,experiencia
103,6.75,0,1,0,10,9
104,6.5,1,1,0,14,5
105,4.5,1,0,0,1,26
106,8.649999618530273,1,1,0,16,18
107,10.0,0,0,0,9,8
108,5.5,1,0,0,1,20
109,7.5,0,0,0,12,2
110,3.569999933242798,1,0,0,16,1
111,18.25,1,1,1,16,21
112,16.0,0,0,0,14,26
113,25.0,0,0,1,18,33
114,12.0,1,0,0,12,41
115,15.350000381469728,1,0,0,12,22
116,16.670000076293945,1,0,0,12,28
117,6.25,0,0,1,12,38
118,4.25,1,0,0,12,37
119,17.299999237060547,0,0,0,16,15
120,20.82999992370605,0,0,1,12,38
121,18.459999084472656,0,0,1,16,30
122,10.0,0,0,0,10,2
123,11.550000190734863,0,0,0,12,15
124,11.0,1,0,0,14,7
125,15.890000343322754,1,0,0,16,24
126,23.07999992370605,0,1,0,16,14
127,4.25,1,0,0,5,22
128,5.0,0,0,0,7,7
129,17.450000762939453,1,0,0,12,23
130,12.81999969482422,1,0,0,16,25
131,6.800000190734863,0,1,0,12,2
132,4.25,1,0,0,10,5
133,8.649999618530273,1,1,0,12,38
134,8.0,1,0,1,12,36
135,13.25,1,0,0,14,25
136,6.75,0,0,0,12,17
137,5.5,1,0,0,1,24
138,7.5,0,0,0,12,19
139,9.25,1,0,0,16,21
140,29.1200008392334,0,0,0,16,22
141,24.75,0,0,0,16,19
142,8.960000038146973,1,0,1,12,41
143,8.0,0,0,0,12,6
144,7.0,1,0,0,12,1
145,17.299999237060547,1,0,1,16,37
146,12.029999732971191,0,0,0,12,10
147,9.0,0,1,1,16,4
148,5.5,0,0,0,12,0
149,4.449999809265137,1,0,0,11,1
150,6.059999942779541,1,0,1,12,1
151,21.6299991607666,0,0,0,16,12
152,5.829999923706055,0,0,0,12,2
153,43.25,0,0,0,18,13
154,37.5,0,0,0,12,22
155,8.1899995803833,0,0,0,12,13
156,21.6299991607666,0,0,0,16,12
157,6.0,1,0,0,12,17
158,9.75,1,0,0,16,7
159,8.649999618530273,1,0,0,16,10
160,7.0,1,0,0,12,24
161,6.0,0,0,0,7,24
162,10.0,1,0,1,12,7
163,12.5,1,0,0,12,13
164,25.479999542236328,1,0,1,18,30
165,5.0,1,0,0,12,4
166,14.43000030517578,1,1,0,16,5
167,24.46999931335449,1,0,0,16,33
168,28.850000381469727,0,0,1,20,23
169,42.72999954223633,0,0,0,20,13
170,7.0,0,1,0,16,15
171,9.0,1,1,0,16,23
172,7.0,0,1,0,12,3
173,18.0,0,0,0,12,22
174,18.0,0,0,0,12,22
175,13.550000190734863,1,0,1,16,24
176,9.300000190734863,1,0,0,12,20
177,14.239999771118164,0,0,0,16,17
178,18.0,1,0,0,18,9
179,9.09000015258789,1,0,0,12,16
180,17.639999389648438,1,0,0,12,13
181,11.529999732971191,1,0,0,16,14
182,19.149999618530277,0,0,1,14,11
183,12.199999809265137,1,0,0,12,15
184,14.4399995803833,0,0,0,12,7
185,15.0,1,0,0,16,29
186,9.539999961853027,1,0,0,12,27
187,17.450000762939453,0,0,0,12,23
188,24.0,1,0,0,14,16
189,14.43000030517578,0,0,0,18,8
190,16.350000381469727,0,0,0,16,8
191,5.0,1,0,0,12,6
192,18.700000762939453,1,0,0,16,11
193,8.0,0,0,0,12,47
194,18.75,0,0,1,12,16
195,5.5,1,0,0,12,1
196,4.920000076293945,1,0,0,12,40
197,7.0,1,0,0,16,1
198,4.5,0,0,0,12,4
199,8.199999809265137,1,0,0,12,33
200,17.25,0,0,0,12,27
201,12.029999732971191,1,0,0,12,12
202,18.200000762939453,1,0,0,12,18
203,2.859999895095825,1,0,0,12,13
204,12.0,0,0,0,7,29
205,14.699999809265137,1,0,0,14,22
206,24.0,0,0,1,12,33
207,14.420000076293944,1,0,0,14,13
208,9.0,1,0,1,12,24
209,19.71999931335449,0,0,0,16,23
210,8.0,1,0,0,18,13
211,12.0,0,0,0,12,9
212,13.15999984741211,1,0,0,12,4
213,11.25,0,0,0,12,12
214,18.0,0,0,1,12,18
215,13.5,0,0,0,16,3
216,8.75,0,0,0,12,6
217,12.720000267028809,0,0,0,16,18
218,11.3100004196167,1,0,0,14,10
219,6.0,1,0,0,12,0
220,9.0,0,0,0,12,7
221,21.46999931335449,0,0,0,16,8
222,5.0,0,1,0,12,12
223,12.5,1,1,0,12,42
224,25.479999542236328,1,1,0,20,27
225,14.40999984741211,0,1,1,12,22
226,10.100000381469728,0,1,1,16,4
227,7.199999809265137,0,1,0,12,5
228,14.399999618530272,1,1,0,12,19
229,9.100000381469728,1,1,1,12,32
230,23.07999992370605,0,0,0,20,3
231,7.0,1,0,0,16,3
232,19.280000686645508,0,0,0,12,15
233,8.710000038146973,1,0,0,12,17
234,9.380000114440918,1,0,0,12,43
235,12.0,0,0,0,9,23
236,13.0,0,0,0,12,10
237,9.630000114440918,0,0,0,12,15
238,16.450000762939453,1,0,0,16,41
239,5.0,1,0,0,12,20
240,20.82999992370605,1,0,0,14,26
241,7.0,0,1,0,12,8
242,10.0,0,0,0,12,6
243,13.0,0,1,0,12,44
244,22.0,0,0,0,12,22
245,8.0,0,0,0,14,2
246,6.0,0,0,0,12,22
247,23.09000015258789,1,0,0,20,17
248,19.229999542236328,1,0,0,16,27
249,8.0,0,0,0,14,4
250,11.109999656677246,0,0,0,12,14
251,4.599999904632568,1,1,1,5,43
252,11.81999969482422,0,0,0,14,37
253,4.550000190734863,0,0,0,12,5
254,10.0,0,0,0,12,19
255,7.409999847412109,1,1,0,10,29
256,28.82999992370605,0,0,0,16,21
257,4.5,1,0,0,11,1
258,11.0,0,0,0,12,16
259,10.079999923706056,1,0,0,12,39
260,9.050000190734863,1,0,0,12,38
261,8.0,1,1,0,12,9
262,5.150000095367432,1,1,0,12,2
263,5.0,0,1,0,12,3
264,12.029999732971191,1,0,0,12,6
265,16.829999923706055,1,0,0,16,25
266,2.0999999046325684,1,0,0,18,27
267,28.229999542236328,0,0,0,20,24
268,7.0,0,0,0,9,17
269,6.0,1,1,0,12,5
270,10.100000381469728,1,0,0,18,15
271,18.0,1,0,0,14,6
272,6.75,1,0,0,12,22
273,11.210000038146973,1,0,1,12,11
274,10.0,0,0,0,12,31
275,5.0,1,1,0,11,39
276,15.0,1,0,0,12,15
277,14.09000015258789,0,0,0,12,19
278,6.929999828338623,1,0,0,12,10
279,6.739999771118164,1,1,0,12,20
280,16.0,0,0,0,14,17
281,6.25,1,0,0,11,34
282,10.0,0,0,0,14,32
283,9.579999923706056,1,0,0,12,14
284,21.149999618530277,1,0,0,18,15
285,6.5,0,0,0,9,3
286,8.029999732971191,1,0,0,7,38
287,24.030000686645508,0,0,0,14,36
288,12.979999542236328,0,0,0,16,23
289,23.399999618530277,0,0,0,20,6
290,15.880000114440918,1,1,0,12,15
291,11.779999732971191,0,0,0,12,41
292,7.0,1,0,0,12,39
293,15.100000381469728,0,0,0,16,16
294,21.0,1,0,0,14,25
295,5.5,1,1,0,16,10
296,9.31999969482422,0,1,1,12,12
297,14.43000030517578,1,1,0,12,29
298,4.0,0,1,0,1,33
299,8.75,0,0,0,9,31
300,8.5,0,0,0,9,7
301,8.0,0,0,0,7,30
302,25.0,0,1,0,20,2
303,24.030000686645508,0,0,0,18,24
304,6.0,1,0,0,14,36
305,5.820000171661377,0,1,0,12,11
306,15.0,0,0,0,12,15
307,11.5,1,1,1,16,29
308,24.030000686645508,0,1,1,14,40
309,4.25,1,1,0,12,9
310,8.649999618530273,1,1,0,10,8
311,5.5,0,1,0,12,1
312,19.190000534057617,0,1,1,12,39
313,19.100000381469727,1,0,1,18,26
314,14.0,0,1,0,12,26
315,4.440000057220459,0,0,0,16,15
316,16.829999923706055,1,0,0,18,28
317,7.0,1,0,0,12,24
318,23.170000076293945,0,0,0,12,37
319,10.979999542236328,0,0,0,12,11
320,5.25,0,1,0,12,0
321,17.299999237060547,0,0,0,14,26
322,7.179999828338623,1,0,1,12,21
323,6.25,0,0,0,16,22
324,7.0,1,0,0,12,46
325,11.539999961853027,1,0,1,12,35
326,7.300000190734863,1,0,0,12,0
327,7.0,1,0,0,16,3
328,8.0,0,0,0,12,8
329,7.0,0,0,1,12,41
330,5.5,1,1,0,12,2
331,10.0,1,1,0,12,9
332,40.0,0,0,0,18,41
333,11.539999961853027,1,0,0,16,3
334,14.43000030517578,1,0,0,12,6
335,22.5,0,0,0,18,3
336,8.420000076293945,1,0,0,12,23
337,13.75,0,0,0,12,36
338,5.340000152587891,1,0,0,12,32
339,12.029999732971191,0,1,0,12,8
340,7.0,1,1,1,12,7
341,5.099999904632568,0,0,0,5,36
342,12.5,1,0,0,18,0
343,16.0,1,0,0,16,9
344,25.0,0,0,1,12,24
345,12.979999542236328,0,0,1,12,37
346,6.920000076293945,1,0,0,1,26
347,9.380000114440918,1,1,0,18,9
348,37.5,0,0,0,16,35
349,19.229999542236328,0,0,0,20,12
350,11.1899995803833,1,0,0,16,29
351,11.5,1,0,0,12,29
352,14.640000343322754,1,0,0,14,12
353,25.0,0,0,1,14,30
354,9.0,0,0,0,11,13
355,14.90999984741211,1,0,0,12,20
356,8.5,0,0,0,14,2
357,21.15999984741211,0,0,0,16,9
358,17.049999237060547,1,0,0,18,23
359,6.099999904632568,1,0,0,12,6
360,15.949999809265137,0,0,0,16,14
361,9.789999961853027,0,0,1,12,21
362,14.15999984741211,1,0,0,16,9
363,28.3799991607666,0,0,0,14,31
364,5.5,0,0,0,1,25
365,5.0,0,0,1,12,9
366,11.529999732971191,1,0,0,12,26
367,16.0,0,0,0,16,7
368,33.220001220703125,0,0,0,18,13
369,12.0,0,0,0,12,15
370,19.25,1,0,0,12,22
371,38.45000076293945,1,0,0,12,32
372,4.25,1,0,0,12,3
373,0.8399999737739563,1,0,0,10,35
374,7.059999942779541,1,1,0,12,12
375,4.75,1,0,0,12,1
376,4.0,0,1,0,12,7
377,15.0,1,0,0,11,38
378,23.07999992370605,0,0,0,16,8
379,17.5,1,0,0,18,38
380,13.75,1,0,0,12,14
381,5.0,1,0,0,12,17
382,8.0,0,0,0,11,5
383,10.0,1,0,0,12,9
384,21.020000457763672,0,0,0,16,9
385,6.039999961853027,1,0,0,12,21
386,7.0,1,0,0,12,8
387,4.25,0,1,0,12,3
388,11.0,1,0,1,12,23
389,4.5,0,0,0,9,23
390,18.0,0,0,1,12,28
391,9.0,0,0,0,12,6
392,12.0,1,0,0,14,16
393,17.860000610351562,0,0,1,16,22
394,26.920000076293945,0,0,0,16,31
395,16.25,1,0,0,16,13
396,8.75,0,0,0,12,17
397,14.479999542236328,1,0,0,18,12
398,24.049999237060547,0,0,1,14,26
399,3.849999904632568,0,0,0,12,18
400,27.8799991607666,0,0,0,16,27
401,5.0,1,0,0,12,43
402,16.5,0,0,0,16,12
403,7.210000038146973,1,0,0,12,33
404,13.449999809265137,1,0,0,12,38
405,10.050000190734863,0,0,0,11,22
406,4.25,1,0,0,12,5
407,6.75,1,0,0,12,22
408,15.0,0,0,1,20,16
409,7.5,1,0,0,18,19
410,8.5,0,0,0,14,6
411,7.210000038146973,1,0,0,12,20
412,9.020000457763672,0,0,0,12,25
413,5.0,1,0,0,12,9
414,5.349999904632568,1,0,0,14,8
415,6.0,0,0,0,12,4
416,9.0,1,0,0,12,29
417,2.299999952316284,1,0,0,12,5
418,5.0,1,0,0,12,3
419,11.350000381469728,1,0,0,7,35
420,5.0,0,0,0,12,2
421,8.0,0,0,0,12,5
422,7.989999771118164,0,0,0,12,20
423,14.0,1,0,1,12,24
424,10.579999923706056,1,0,0,14,3
425,15.380000114440918,0,0,0,11,24
426,15.0,0,0,0,16,8
427,13.0,1,0,0,14,32
428,4.440000057220459,0,1,0,12,6
429,15.43000030517578,1,1,0,12,31
430,9.0,0,0,0,12,4
431,14.18000030517578,1,0,0,12,39
432,14.960000038146973,0,0,0,16,9
433,30.780000686645508,0,0,0,20,27
434,17.0,0,0,0,12,24
435,8.5,1,0,0,14,13
436,6.75,1,0,0,16,6
437,12.5,0,0,0,12,10
438,22.299999237060547,0,0,0,16,20
439,5.0,0,0,0,16,21
440,4.900000095367432,0,0,0,12,3
441,13.75,0,0,1,12,40
442,8.600000381469727,1,1,0,12,17
443,6.519999980926514,0,0,0,12,46
444,4.800000190734863,1,0,0,12,15
445,16.0,0,0,1,12,28
446,5.0,0,0,0,11,1
447,5.75,0,0,0,12,3
448,7.0,1,1,0,12,25
449,8.850000381469727,1,1,0,12,15
450,18.8700008392334,0,0,0,14,14
451,30.75,0,0,0,18,27
452,5.300000190734863,1,0,0,12,15
453,28.82999992370605,1,0,0,14,20
454,4.329999923706055,1,0,0,11,26
455,6.039999961853027,0,0,0,12,34
456,18.690000534057617,0,0,1,16,9
457,13.5,1,0,0,12,36
458,17.889999389648438,1,0,1,12,24
459,13.75,1,0,0,16,9
460,7.199999809265137,1,0,0,12,11
461,7.0,1,0,0,12,1
462,5.0,1,0,0,12,10
463,17.0,1,0,0,12,38
464,10.0,0,0,1,12,9
465,28.850000381469727,0,1,0,12,20
466,13.5,1,0,0,16,2
467,7.0,1,0,0,16,11
468,13.4399995803833,1,1,1,12,16
469,6.0,1,1,0,12,4
470,9.0,0,0,1,12,0
471,10.100000381469728,0,1,0,12,11
472,16.829999923706055,0,1,0,12,27
473,20.200000762939453,1,0,0,12,15
474,8.0,1,0,0,12,41
475,12.130000114440918,1,0,0,12,23
476,3.0,1,0,0,16,2
477,4.349999904632568,1,0,0,12,18
478,15.0600004196167,1,0,1,16,28
479,5.25,1,0,0,16,5
480,21.149999618530277,1,0,0,12,17
481,16.829999923706055,0,0,0,12,40
482,8.75,1,0,0,9,48
483,9.470000267028809,1,0,0,12,24
484,9.050000190734863,1,0,0,12,27
485,11.529999732971191,0,0,0,12,14
486,13.0,1,0,0,12,38
487,5.0,1,0,0,16,6
488,11.0,0,0,0,12,29
489,10.670000076293944,1,0,0,12,21
490,9.5,0,0,0,12,6
491,17.780000686645508,0,0,0,12,18
492,26.93000030517578,1,0,0,16,13
493,10.0,1,0,0,12,41
494,28.350000381469727,0,0,0,16,34
495,8.0,0,0,0,7,30
496,20.68000030517578,1,0,1,18,20
497,21.6299991607666,1,0,0,16,11
498,16.299999237060547,0,0,1,12,21
499,19.940000534057617,1,0,0,18,34
500,11.25,1,0,1,11,40
501,11.729999542236328,0,0,0,16,22
502,12.0,1,0,0,14,20
503,18.15999984741211,1,0,1,14,32
504,7.150000095367432,0,0,0,12,1
505,38.45000076293945,1,0,0,18,18
506,25.43000030517578,1,0,0,18,17
507,18.459999084472656,1,0,0,18,27
508,36.04999923706055,0,1,0,18,9
509,7.880000114440918,1,0,0,20,15
510,6.0,1,0,1,12,5
511,38.459999084472656,0,0,0,16,31
512,25.88999938964844,1,0,0,16,12
513,48.08000183105469,0,0,0,16,38
514,9.5,0,0,0,12,18
515,16.600000381469727,1,0,0,16,16
516,6.5,1,0,0,11,21
517,8.0,1,0,0,12,6
518,18.75,1,0,0,12,30
519,6.5,1,0,0,10,42
520,12.5,1,0,0,16,19
521,17.0,0,0,1,14,27
522,5.349999904632568,1,0,0,12,13
523,39.0,0,0,0,16,25
524,12.5,0,0,1,12,26
525,10.84000015258789,1,0,0,12,38
526,9.0,1,0,0,12,31
527,8.0,0,0,0,12,6
528,8.5,1,0,0,16,7
529,5.75,1,1,0,16,12
530,9.0,1,0,0,12,26
531,8.0,0,0,0,9,22
532,17.299999237060547,0,0,1,18,22
533,5.0,1,0,0,12,14
534,5.0,0,0,0,12,35
535,21.899999618530277,0,0,1,14,17
536,10.050000190734863,1,0,1,12,23
537,17.75,0,0,0,12,21
538,4.599999904632568,1,0,0,12,3
539,4.25,1,0,0,12,6
540,9.34000015258789,0,0,1,12,29
541,8.5600004196167,1,0,0,12,12
542,25.0,0,0,0,12,6
543,7.0,1,0,0,12,28
544,23.950000762939453,0,0,1,16,40
545,4.650000095367432,0,0,0,12,35
546,7.150000095367432,0,0,0,14,4
547,9.890000343322754,1,0,0,12,35
548,18.649999618530277,1,0,1,18,15
549,11.630000114440918,0,0,0,12,23
550,6.599999904632568,0,0,0,14,10
551,10.800000190734863,1,0,0,12,16
552,22.63999938964844,0,0,0,20,14
553,6.75,1,0,0,12,34
554,8.0,0,1,0,12,4
555,9.609999656677246,1,0,0,12,12
556,4.25,1,0,0,12,12
557,8.779999732971191,1,0,1,12,18
558,5.579999923706055,1,0,0,10,10
559,7.099999904632568,1,0,0,12,40
560,7.0,1,0,1,14,13
561,9.0,1,0,0,18,14
562,5.0,0,0,0,11,1
563,18.0,0,0,0,12,34
564,18.0,0,0,1,12,23
565,16.829999923706055,1,0,0,12,18
566,25.63999938964844,0,0,0,16,29
567,9.25,1,0,0,12,39
568,19.420000076293945,0,0,0,16,30
569,12.720000267028809,0,0,0,16,14
570,18.440000534057617,0,0,1,12,21
571,4.860000133514404,0,0,1,7,52
572,12.0,0,0,0,12,24
573,38.459999084472656,0,0,0,16,23
574,8.430000305175781,0,1,1,12,22
575,7.0,1,1,1,7,21
576,14.100000381469728,0,1,1,16,11
577,11.0,0,0,0,16,24
578,26.600000381469727,0,0,0,12,38
579,13.0,1,1,0,12,16
580,15.0,0,0,0,12,32
581,5.0,1,1,0,12,7
582,7.5,0,1,1,16,25
583,19.0,1,1,0,12,30
584,7.0,1,0,0,12,13
585,16.350000381469727,0,0,0,18,10
586,9.68000030517578,1,0,0,12,17
587,9.5,1,0,0,12,43
588,35.380001068115234,0,0,0,16,16
589,13.640000343322754,0,0,0,12,17
590,16.829999923706055,0,1,0,12,38
591,6.190000057220459,0,0,0,12,22
592,27.46999931335449,0,0,0,16,25
593,13.100000381469728,1,0,1,12,34
594,10.300000190734863,1,0,0,12,14
595,8.0,0,0,0,12,4
596,7.78000020980835,0,0,0,12,21
597,5.0,1,0,0,16,1
598,30.57999992370605,0,0,0,16,21
599,10.0,0,0,1,12,32
600,16.350000381469727,1,0,0,20,13
601,9.5,0,0,0,12,12
602,12.119999885559082,1,0,0,12,40
603,17.270000457763672,1,0,0,16,19
604,12.0,1,0,1,14,8
605,5.0,1,1,0,12,19
606,25.479999542236328,0,0,0,12,16
607,5.5,1,1,0,12,13
608,32.93000030517578,0,1,0,20,13
609,6.400000095367432,1,1,0,12,6
610,20.200000762939453,0,0,0,12,16
611,14.0,0,0,0,11,29
612,6.0,1,0,0,12,6
613,9.630000114440918,1,0,0,12,16
614,9.609999656677246,0,0,0,20,9
615,8.899999618530273,0,1,0,14,9
616,16.670000076293945,0,0,0,12,3
617,11.0,0,0,0,12,3
618,7.699999809265137,1,1,0,12,6
619,14.43000030517578,0,0,0,12,20
620,24.8700008392334,1,0,0,16,28
621,19.0,1,1,0,14,18
622,4.5,1,1,0,12,16
623,6.0,0,1,0,12,47
624,21.07999992370605,0,0,0,16,14
625,9.579999923706056,1,1,0,14,13
626,12.0,0,0,0,12,30
627,7.070000171661377,1,1,1,12,12
628,7.0,1,0,0,12,16
629,10.579999923706056,1,0,0,16,0
630,8.569999694824219,1,0,0,12,27
631,7.179999828338623,1,0,0,12,10
632,9.609999656677246,1,0,0,12,13
633,12.5,1,0,0,16,8
634,6.25,1,1,0,12,16
635,6.0,0,0,0,12,45
636,10.0,1,0,0,12,4
637,24.030000686645508,0,1,0,20,32
638,38.459999084472656,0,0,0,16,18
639,5.5,0,0,0,16,8
640,14.43000030517578,0,0,0,18,17
641,10.0,0,0,0,11,26
642,18.0,0,0,0,16,21
643,6.150000095367432,1,0,0,12,3
644,23.75,0,0,1,18,28
645,9.25,0,0,0,12,28
646,8.079999923706055,0,0,0,12,29
647,5.0,1,0,0,12,29
648,12.399999618530272,0,0,0,12,18
649,5.0,1,0,0,12,24
650,6.920000076293945,0,0,0,12,26
651,7.840000152587891,1,0,0,12,33
652,6.880000114440918,1,0,0,12,16
653,6.349999904632568,1,0,0,12,15
654,8.25,1,0,0,12,17
655,12.800000190734863,0,0,0,14,27
656,19.239999771118164,1,0,0,12,25
657,15.0,1,0,0,14,14
658,7.0,1,0,0,16,8
659,6.0,0,0,0,12,5
660,7.300000190734863,1,0,0,16,17
661,5.0,1,0,0,12,3
662,20.850000381469727,1,0,0,16,19
663,12.25,1,0,0,16,0
664,6.730000019073486,1,0,0,12,9
665,11.539999961853027,0,0,0,18,32
666,5.0,1,0,0,12,31
667,20.200000762939453,0,0,0,12,31
668,18.75,0,0,1,12,34
669,4.900000095367432,0,0,0,16,1
670,9.619999885559082,0,0,0,12,10
671,8.649999618530273,0,0,0,14,24
672,9.18000030517578,1,0,0,14,7
673,5.0,0,0,0,12,6
674,7.5,0,0,0,12,41
675,20.200000762939453,0,1,0,16,37
676,4.659999847412109,1,0,0,12,6
677,4.25,0,0,0,11,19
678,9.239999771118164,1,0,1,16,2
679,13.460000038146973,0,1,0,12,15
680,13.640000343322754,0,0,0,14,21
681,7.5,0,1,0,7,14
682,7.25,0,1,0,16,30
683,9.229999542236328,1,1,0,12,10
684,14.399999618530272,0,0,1,12,32
685,13.0,1,0,0,12,9
686,15.579999923706056,0,0,1,12,35
687,5.78000020980835,1,0,0,12,30
688,15.5600004196167,0,0,0,12,21
689,13.890000343322754,1,0,0,12,18
690,18.450000762939453,0,0,0,12,35
691,6.0,0,0,0,12,5
692,5.0,1,0,0,12,23
693,7.139999866485596,1,0,0,12,5
694,7.079999923706055,0,0,0,12,21
695,5.0,0,0,0,12,13
696,13.460000038146973,1,0,1,18,24
697,33.0,0,0,0,12,47
698,12.90999984741211,0,0,1,11,21
699,4.5,1,0,0,14,13
700,5.0,1,0,1,12,17
701,13.0,0,0,1,12,13
702,10.0,1,0,0,10,23
703,34.959999084472656,1,0,0,20,6
704,12.65999984741211,1,1,1,14,6
705,17.299999237060547,0,1,0,18,4
706,18.290000915527344,1,0,1,12,30
707,48.08000183105469,0,0,0,16,2
708,19.239999771118164,0,0,0,16,28
709,12.0,0,0,0,12,25
710,22.729999542236328,1,0,1,16,42
711,12.0,0,0,0,12,20
712,17.780000686645508,1,0,0,14,24
713,8.890000343322754,1,0,0,12,37
714,15.0,0,0,1,12,35
715,13.0,1,0,1,11,33
716,64.08000183105469,1,0,0,16,12
717,14.0,0,0,0,12,23
718,12.0,0,0,0,14,9
719,7.0,0,1,0,5,22
720,27.700000762939453,0,0,0,16,15
721,9.0,0,0,0,12,11
722,11.0,0,0,0,12,27
723,1.5700000524520874,0,1,0,16,6
724,6.050000190734863,1,1,0,12,4
725,15.0,1,0,0,12,27
726,19.25,0,0,1,12,22
727,10.420000076293944,0,0,0,16,19
728,10.300000190734863,0,0,0,12,32
729,13.84000015258789,0,0,0,16,11
730,12.0,1,0,1,12,17
731,8.649999618530273,0,0,0,12,13
732,30.239999771118164,1,0,1,18,22
733,11.5,1,0,0,12,22
734,11.539999961853027,0,0,0,12,14
735,20.200000762939453,0,0,0,16,6
736,50.0,1,0,0,16,7
737,13.0,0,0,1,12,42
738,4.25,1,0,0,12,25
739,7.699999809265137,0,0,1,12,45
740,15.9399995803833,1,0,0,12,16
741,25.81999969482422,0,0,1,12,33
742,14.0,1,0,0,12,33
743,12.5,1,0,1,14,30
744,25.290000915527344,1,0,0,12,44
745,8.649999618530273,0,0,0,12,14
746,14.0,0,0,1,12,8
747,12.0,0,0,0,12,28
748,14.43000030517578,0,0,1,16,22
749,29.90999984741211,0,0,0,18,22
750,10.25,0,0,0,16,11
751,18.84000015258789,0,0,0,18,27
752,12.0,1,0,0,12,43
753,25.0,0,0,1,12,43
754,6.650000095367432,1,0,0,14,17
755,18.0,0,1,1,12,47
756,5.0,0,1,0,16,26
757,6.5,1,0,0,12,28
758,23.07999992370605,0,0,0,18,15
759,10.5,0,0,0,12,7
760,10.0,0,0,1,12,6
761,8.75,0,1,0,12,4
762,15.470000267028809,1,1,0,14,21
763,42.54999923706055,0,0,0,20,27
764,6.0,1,1,0,12,3
765,6.25,1,0,0,12,12
766,4.0,1,0,0,10,6
767,16.829999923706055,0,0,0,12,42
768,7.0,0,0,0,12,6
769,5.440000057220459,0,0,0,20,36
770,5.0,1,0,0,11,1
771,11.0,0,0,0,14,25
772,6.880000114440918,0,1,0,12,13
773,11.0,0,1,1,12,10
