mes,inflacao_alimentos,var_cambio,var_commodities,selic
2018-11,-0.2702,-0.5084,0.4206,8.1
2018-12,0.0645,1.5629,2.1778,7.58
2019-01,-0.7781,-2.2752,2.0203,7.81
2019-02,0.1212,0.5218,0.5231,7.81
2019-03,0.4366,-0.0511,-0.419,8.07
2019-04,-0.8879,-1.1505,-6.4774,8.03
2019-05,0.7174,0.9723,4.051,7.54
2019-06,1.0033,0.489,2.9926,7.96
2019-07,0.073,-1.7387,-0.6732,8.13
2019-08,0.7463,2.2876,1.9695,8.45
2019-09,0.4922,4.3768,-2.6765,8.08
2019-10,-0.9061,-1.1694,-1.4359,7.79
2019-11,-0.1914,-0.2458,0.0663,7.93
2019-12,-0.838,0.2389,-0.8773,7.8
2020-01,-1.3506,1.6012,-5.2667,7.43
2020-02,-0.9039,1.629,-4.2441,6.9
2020-03,0.5701,0.9824,3.0927,6.81
2020-04,0.5189,2.1089,-2.8037,6.95
2020-05,0.5401,-0.5475,2.7188,7.15
2020-06,-0.2557,-0.3643,-5.87,7.48
2020-07,0.1484,1.1622,-2.2065,8.17
2020-08,-0.5358,-0.0277,-1.9706,9.06
2020-09,-0.4971,-0.9201,3.04,9.07
2020-10,-1.4651,-0.1356,-2.9681,8.5
2020-11,-0.1494,0.1777,3.803,8.66
2020-12,-0.8417,-3.7247,-1.4777,8.28
2021-01,0.1758,-1.8444,4.0813,7.71
2021-02,-0.4474,0.5432,-4.9498,7.55
2021-03,0.1201,1.8004,-4.2263,7.88
2021-04,0.303,0.9217,1.9948,8.16
2021-05,-0.1781,1.695,-3.1756,8.61
2021-06,-0.0113,-0.1446,4.2946,9.03
2021-07,-0.6187,-3.3133,-1.5892,8.65
2021-08,0.2048,0.4524,-1.0894,8.68
2021-09,0.1814,-0.3285,1.7172,8.12
2021-10,0.8064,1.0938,2.82,7.96
2021-11,0.057,1.1138,-1.9223,7.89
2021-12,-0.2024,-0.8189,2.4289,7.72
2022-01,0.7908,1.856,1.3392,8.01
2022-02,1.2802,2.0571,5.5017,8.71
2022-03,0.105,-0.292,-1.6847,8.13
2022-04,1.1679,1.7657,-0.0174,8.71
2022-05,0.4578,-0.5462,-2.0746,8.42
2022-06,0.1203,1.3904,-1.3252,8.92
2022-07,0.0707,0.2102,0.0026,8.53
2022-08,-0.1173,-2.8909,0.9788,8.04
2022-09,0.1449,1.1144,-0.0011,8.24
2022-10,0.0373,0.0672,3.7396,9.04
2022-11,-0.1098,-1.5819,0.0423,8.91
2022-12,-0.2248,0.824,0.7604,8.59
2023-01,-0.5444,0.4492,-1.9402,9.05
2023-02,-0.5403,1.9365,-2.2612,8.91
2023-03,-0.309,0.67,-2.0781,8.3
2023-04,-0.1126,-1.0246,-5.4294,7.84
2023-05,0.0904,-0.6588,-3.0859,7.78
2023-06,0.9764,1.8032,-2.8428,8.58
2023-07,0.9701,0.5995,0.1341,9.01
2023-08,-0.1328,-0.4503,-1.5865,9.44
2023-09,0.0413,-3.4168,0.8559,9.87
2023-10,-0.0953,-1.3673,-3.0386,9.99
2023-11,0.6344,1.4879,0.0,10.2
2023-12,0.3456,1.6658,0.0,10.15
2024-01,0.8885,3.0298,0.0,10.85
2024-02,0.0705,0.981,1.4784,10.41
2024-03,-1.3044,-4.3293,-0.905,10.35
2024-04,0.1855,0.7608,4.8338,10.81
2024-05,-0.0124,1.5615,1.8171,10.29
2024-06,0.0766,2.7036,-3.2246,10.71
2024-07,-0.8471,-0.5414,-1.6803,10.59
2024-08,0.0669,0.4359,2.5254,9.97
2024-09,0.5695,2.3553,3.3666,9.94
2024-10,-0.3391,-1.0669,-0.5338,9.69
2024-11,-0.4717,0.3201,0.9479,9.41
2024-12,-0.2714,0.7599,3.4141,8.83
2025-01,-0.7549,-1.3875,0.7294,8.73
2025-02,-0.5757,-2.0593,5.2044,9.28
2025-03,-0.5376,-0.1324,-3.0943,9.41
2025-04,-0.7538,-0.8057,-5.071,9.54
2025-05,0.6883,0.5367,0.596,9.98
2025-06,0.5864,3.0272,-4.5221,9.88
2025-07,-0.0726,-0.0308,-5.882,9.52
2025-08,0.2833,2.3711,0.0,9.23
2025-09,-0.3456,0.8336,1.391,9.18
2025-10,-0.667,-1.4022,0.5196,9.26
2025-11,-0.7816,-1.6038,1.7676,8.99
2025-12,-1.1118,-2.277,-2.3161,8.77
