mes,exportacoes_mi_t,preco_chicago,cambio,producao_mi_t
2022-01,9.705,1198.9,4.2778,122.48
2022-02,9.953,1202.4,4.1662,129.44
2022-03,14.528,1200.5,4.2073,124.94
2022-04,16.798,1168.6,4.279,133.47
2022-05,15.802,1164.8,4.3538,126.78
2022-06,16.462,1171.3,4.5035,120.61
2022-07,16.219,1178.2,4.5084,125.32
2022-08,14.103,1177.2,4.4546,126.81
2022-09,13.137,1215.6,4.4019,125.85
2022-10,11.732,1219.7,4.3567,120.18
2022-11,11.441,1243.1,4.4468,126.09
2022-12,11.355,1231.7,4.5923,129.48
2023-01,12.501,1248.9,4.6709,131.03
2023-02,10.982,1216.4,4.7355,118.69
2023-03,18.917,1223.5,4.6625,132.46
2023-04,23.893,1209.2,4.6916,138.89
2023-05,19.353,1199.8,4.6868,128.19
2023-06,19.053,1209.7,4.855,138.28
2023-07,16.15,1200.5,4.8786,134.22
2023-08,15.288,1232.6,4.8943,130.81
2023-09,14.974,1266.8,4.942,128.95
2023-10,16.249,1288.7,4.8025,134.52
2023-11,14.223,1277.8,4.8894,130.68
2023-12,17.119,1276.0,5.0454,133.0
2024-01,16.346,1293.4,4.9718,123.93
2024-02,17.976,1289.5,5.0704,136.06
2024-03,22.615,1291.5,5.1475,135.64
2024-04,27.169,1276.6,5.238,127.57
2024-05,24.863,1255.7,5.3008,123.39
2024-06,22.457,1261.7,5.3871,135.78
2024-07,17.674,1271.2,5.4177,135.36
2024-08,18.537,1263.3,5.5213,135.19
2024-09,15.943,1270.0,5.5171,132.12
2024-10,16.019,1273.0,5.4733,142.02
2024-11,14.181,1276.0,5.4917,128.49
2024-12,15.393,1287.7,5.3377,137.01
2025-01,15.608,1276.0,5.2921,128.78
2025-02,16.533,1281.5,5.3068,129.39
2025-03,28.503,1297.8,5.3602,138.3
2025-04,31.36,1280.6,5.4776,132.99
2025-05,28.636,1315.6,5.4167,144.88
2025-06,22.08,1310.0,5.4479,130.28
2025-07,19.324,1279.6,5.6035,138.28
2025-08,20.047,1240.8,5.6383,146.32
2025-09,15.417,1245.4,5.4846,134.8
2025-10,15.956,1249.8,5.4834,138.14
2025-11,15.729,1243.7,5.5231,136.7
2025-12,16.255,1226.9,5.6107,140.65
