imovel,preco_ha,produtividade,aptidao,distancia_km,irrigacao,area_ha
MT-081,54.72,70.8,91.0,242,0,719
MT-082,14.1,53.1,57.4,116,1,1009
MT-083,26.37,62.4,74.3,67,0,645
MT-084,35.98,66.1,74.8,42,0,661
MT-085,38.54,62.7,74.7,18,0,397
MT-086,13.08,54.4,54.6,56,0,697
MT-087,12.46,55.1,54.7,113,1,489
MT-088,24.02,55.4,64.8,56,0,332
MT-089,10.16,52.8,63.2,126,0,454
MT-090,16.59,62.8,76.9,281,0,213
MT-091,22.81,63.6,80.4,76,0,509
MT-092,4.5,47.4,45.6,100,0,704
MT-093,4.5,45.7,38.3,176,0,565
MT-094,18.82,50.9,53.8,54,0,770
MT-095,31.24,61.2,65.8,19,0,417
MT-096,49.0,72.9,95.3,141,0,530
MT-097,16.28,55.7,61.6,159,1,528
MT-098,4.5,61.9,71.3,295,0,1987
MT-099,54.36,54.1,53.9,7,1,209
MT-100,22.76,51.6,55.2,45,0,2113
MT-101,23.97,44.9,41.0,8,0,312
MT-102,33.85,59.5,63.0,43,0,410
MT-103,36.63,67.2,76.9,40,0,629
MT-104,48.28,56.5,66.5,14,1,776
MT-105,21.15,69.2,92.1,319,0,509
MT-106,28.73,61.0,71.4,115,0,605
MT-107,43.05,57.8,70.4,28,0,1365
MT-108,26.55,63.3,78.1,142,0,3161
MT-109,50.9,62.4,69.7,16,0,690
MT-110,83.87,70.9,76.5,19,1,843
MT-111,8.76,53.5,57.4,132,0,485
MT-112,4.5,44.8,35.0,95,1,1645
MT-113,22.12,61.5,68.6,136,0,480
MT-114,29.14,53.7,55.0,28,0,740
MT-115,42.32,57.6,65.5,13,0,252
MT-116,47.82,70.8,87.1,34,0,82
MT-117,17.92,53.5,55.4,114,0,2512
MT-118,19.05,64.3,75.7,174,0,1091
MT-119,20.54,65.4,76.4,217,1,983
MT-120,4.5,58.0,74.2,311,0,273
MT-121,63.86,67.1,92.7,21,0,168
MT-122,17.77,57.4,63.7,168,0,442
MT-123,4.5,56.0,52.5,318,0,565
MT-124,58.99,68.0,81.8,18,0,859
MT-125,72.66,64.5,86.2,6,1,525
MT-126,63.22,69.3,86.7,11,0,1266
MT-127,19.19,63.0,75.1,132,0,663
MT-128,35.48,71.1,92.9,147,0,646
MT-129,42.67,53.9,68.4,17,0,1167
MT-130,4.5,54.4,57.8,252,0,328
MT-131,28.9,43.8,42.5,15,1,681
MT-132,5.56,54.8,53.1,109,0,355
MT-133,67.91,68.8,77.7,12,0,327
MT-134,4.5,51.1,49.4,122,0,1488
MT-135,62.05,58.5,63.6,7,1,1112
MT-136,28.71,78.1,91.0,63,0,757
MT-137,29.94,63.9,78.0,24,0,1293
MT-138,35.9,73.0,91.1,82,0,678
MT-139,12.16,53.5,55.5,204,1,1334
MT-140,22.66,42.0,35.0,22,1,291
MT-141,39.81,74.2,90.5,263,0,473
MT-142,18.68,49.0,49.2,36,0,682
MT-143,30.28,59.3,67.9,29,1,261
MT-144,48.7,62.0,66.6,14,0,329
MT-145,36.61,55.2,53.0,7,0,222
MT-146,60.63,69.8,89.0,8,0,838
MT-147,49.25,69.8,88.5,176,0,380
MT-148,65.96,64.8,68.2,6,0,632
MT-149,18.7,57.2,70.8,79,0,754
MT-150,24.07,59.9,68.1,68,0,470
MT-151,24.1,50.8,50.7,62,1,533
MT-152,40.06,57.5,68.7,37,1,577
MT-153,51.32,59.0,70.6,8,0,704
MT-154,32.05,57.4,54.5,13,0,1328
MT-155,36.41,67.6,77.8,95,0,246
MT-156,5.99,50.1,45.3,207,1,559
MT-157,24.77,56.4,64.9,41,0,229
MT-158,10.56,45.8,41.8,28,0,1428
MT-159,34.24,64.2,73.0,165,0,148
MT-160,58.44,66.8,82.4,7,0,589
MT-161,40.01,66.8,79.2,65,0,394
MT-162,29.09,78.6,98.0,285,1,353
MT-163,38.56,62.5,82.7,33,0,860
MT-164,40.09,53.4,50.1,20,1,757
MT-165,58.32,78.8,98.0,26,0,271
MT-166,21.87,54.1,56.9,59,0,722
MT-167,27.09,64.4,78.2,200,0,640
MT-168,27.65,64.8,84.7,109,0,314
MT-169,32.16,54.8,57.6,23,0,192
MT-170,61.94,70.9,87.4,27,0,905
MT-171,46.25,64.9,68.1,75,1,847
MT-172,27.21,60.1,74.8,73,0,749
MT-173,40.14,52.3,56.5,9,0,364
MT-174,36.43,71.7,93.0,59,0,1208
MT-175,13.79,55.1,55.4,117,0,5617
MT-176,31.49,49.0,45.3,10,0,584
MT-177,21.65,69.5,90.7,131,0,754
MT-178,42.52,56.2,64.7,11,0,297
MT-179,49.48,60.7,63.7,8,0,299
MT-180,42.51,71.8,95.2,55,0,1753
MT-181,32.53,65.2,85.2,134,1,2503
MT-182,20.01,62.4,75.6,70,0,439
MT-183,39.69,67.7,83.5,67,0,331
MT-184,41.66,56.1,58.9,9,0,275
MT-185,43.99,68.2,73.1,60,0,340
MT-186,41.25,68.4,80.5,46,0,538
MT-187,79.64,66.1,77.9,6,1,219
MT-188,9.77,61.6,63.3,126,0,317
MT-189,26.94,42.0,35.0,14,1,996
MT-190,44.79,62.2,78.7,38,0,460
MT-191,39.03,59.8,70.4,37,0,300
MT-192,16.86,57.2,61.9,90,0,228
MT-193,18.24,69.1,82.8,185,0,1081
MT-194,40.05,61.2,71.9,133,1,249
MT-195,48.06,63.8,71.9,14,0,465
MT-196,23.35,48.8,46.1,15,0,1029
MT-197,18.81,50.7,48.3,33,0,747
MT-198,46.76,63.8,76.2,26,0,629
MT-199,19.23,61.5,71.5,105,0,633
MT-200,34.14,62.3,69.2,53,0,266
MT-201,48.81,59.9,70.2,36,1,311
MT-202,41.25,65.5,74.0,66,1,372
MT-203,44.06,62.0,65.2,27,0,70
MT-204,14.52,59.8,69.4,182,0,385
MT-205,19.08,62.7,69.6,117,0,479
MT-206,36.31,64.6,75.3,142,0,485
MT-207,6.05,56.6,61.8,309,0,472
MT-208,30.53,63.4,77.7,92,0,592
MT-209,14.7,65.7,71.3,80,0,620
MT-210,10.4,66.1,66.7,126,0,1602
MT-211,12.37,59.3,61.5,74,0,573
MT-212,9.49,63.9,62.9,268,0,932
MT-213,53.15,64.4,79.9,30,1,341
MT-214,28.8,53.2,54.9,26,0,647
MT-215,62.3,62.6,71.0,8,0,632
MT-216,4.5,60.3,66.8,255,0,441
MT-217,36.71,55.6,54.5,8,0,157
MT-218,9.81,52.6,62.1,224,1,203
MT-219,19.56,47.6,43.1,25,0,707
MT-220,4.5,49.0,55.5,309,0,499
