dia,retorno
234,-3.9836
235,5.215
236,2.8992
237,2.766
238,5.0036
239,-4.9741
240,-0.5739
241,-1.6692
242,-1.8078
243,0.6243
244,-0.5626
245,1.0705
246,3.7495
247,-4.4905
248,4.0279
249,-1.2178
250,-1.9634
251,4.1015
252,0.3796
253,-2.2295
254,-1.1981
255,1.0758
256,0.968
257,-4.2737
258,0.2545
259,-5.1652
260,0.9807
261,1.7071
262,1.6707
263,2.8352
264,-0.0376
265,2.7976
266,-0.4817
267,0.3553
268,0.5219
269,0.6483
270,0.0814
271,-0.3401
272,1.3177
273,0.102
274,-1.4801
275,-2.4599
276,4.9138
277,-3.2431
278,2.5047
279,0.0666
280,0.3282
281,0.6229
282,-0.5894
283,0.1734
284,-0.0448
285,-0.2794
286,3.6722
287,-1.5164
288,1.0738
289,0.1365
290,0.2251
291,3.4304
292,-0.5929
293,2.9234
294,-3.1478
295,4.2827
296,2.4985
297,2.5893
298,1.8663
299,5.1674
300,-0.458
301,-5.1847
302,2.9081
303,-3.0833
304,3.4285
305,-2.3275
306,0.3288
307,-3.5428
308,-2.8463
309,-1.6202
310,0.4286
311,1.3028
312,-2.3727
313,-0.6709
314,2.3687
315,1.587
316,0.9059
317,-3.5893
318,-3.9211
319,-2.9595
320,0.5267
321,-0.2103
322,1.2953
323,1.7406
324,2.2448
325,-2.1079
326,2.7185
327,0.9668
328,-0.7435
329,4.9512
330,0.0716
331,-4.3169
332,-5.9248
333,-1.726
334,-5.5545
335,0.0275
336,-1.4111
337,-1.6383
338,1.4208
339,1.7355
340,1.6682
341,1.6255
342,-1.1524
343,-1.6933
344,-2.9052
345,-3.8802
346,3.0106
347,-1.4816
348,1.601
349,-0.6857
350,-0.0594
351,4.4315
352,-1.914
353,-0.0433
354,-1.9698
355,3.9676
356,1.5157
357,1.8384
358,-0.4896
359,-3.3905
360,0.1734
361,-1.8755
362,4.1185
363,3.6755
364,2.6913
365,6.0252
366,-0.7393
367,2.8956
368,-0.1599
369,0.3991
370,1.2423
371,1.8103
372,3.2018
373,-2.7502
374,-1.5988
375,0.5327
376,1.0842
377,2.9026
378,-1.5697
379,-0.2982
380,-1.433
381,-0.3998
382,-2.3127
383,-0.475
384,-0.4095
385,1.8543
386,-1.5244
387,1.642
388,1.9629
389,1.3901
390,-2.1187
391,0.3828
392,2.4514
393,-0.0535
394,1.203
395,-0.6724
396,-0.629
397,2.1604
398,-1.2972
399,1.4504
400,1.6065
401,-1.0317
402,0.9907
403,-1.4089
404,-0.3471
405,-1.6981
406,-1.0335
407,-1.4306
408,-1.2842
409,1.353
410,-0.7597
411,-0.9888
412,0.5581
413,0.1398
414,-0.435
415,0.7803
416,2.2428
417,0.2198
418,1.695
419,0.7218
420,0.6906
421,-0.5488
422,5.9253
423,-2.0646
424,-1.0381
425,2.4372
426,1.5491
427,-2.0736
428,0.0576
429,-0.5051
430,-1.8962
431,1.6696
432,1.8984
433,-1.8877
434,-1.7175
435,-3.7954
436,0.3557
437,-1.0431
438,-0.823
439,0.8724
440,-0.2027
441,1.1927
442,-1.4771
443,-1.9236
444,-1.156
445,-2.3911
446,-0.0463
447,-0.739
448,2.6076
449,0.4929
450,-1.3897
451,2.8834
452,4.2909
453,0.9028
454,0.4468
455,-0.3515
456,1.0668
457,1.698
458,0.3161
459,2.6673
460,-0.494
461,2.6039
462,2.4337
463,-2.1416
464,-0.3557
465,1.5609
466,-0.685
467,-0.7112
468,-0.0395
469,-0.7805
470,-0.0304
471,0.553
472,-4.1133
473,-1.1626
474,3.9094
475,0.1096
476,-1.1732
477,-2.243
478,-1.5546
479,1.8055
480,1.7632
481,-5.2347
482,1.2751
483,-4.7631
484,1.6299
485,-3.7775
486,-0.9758
487,2.4999
488,1.7769
489,5.6017
490,-2.3444
491,-2.0958
492,1.056
493,-3.479
494,-1.4862
495,0.6855
496,-2.8388
497,0.9259
498,-0.449
499,2.9796
500,-2.3458
501,0.1336
502,3.4055
503,-1.2293
504,0.3521
505,-0.5455
506,-0.6086
507,-0.4787
508,-1.5547
509,0.7586
510,-3.3645
511,-1.2242
512,0.5087
513,1.5128
514,4.2675
515,0.7846
516,-3.1279
517,-0.678
518,-1.1457
519,-0.5982
520,3.3955
521,2.2199
522,1.4675
523,0.4706
524,2.3557
525,-0.7805
526,-0.2012
527,0.1756
528,0.8227
529,-2.5708
530,-2.5794
531,1.1031
532,-1.5948
533,-0.356
534,0.5657
535,0.7401
536,0.6946
537,-2.3883
538,-0.9652
539,2.9701
540,-1.448
541,-0.3775
542,-1.9632
543,0.9602
544,-4.8024
545,-0.0544
546,-2.0964
547,0.9716
548,-1.8095
549,-0.6134
550,-3.4185
551,-0.1184
552,2.2325
553,-3.1173
554,-2.8282
555,0.9531
556,0.3429
557,-4.4304
558,3.3529
559,0.0154
560,3.4856
561,-4.2188
562,3.3766
563,-1.5605
564,-2.4799
565,-0.2966
566,6.8684
567,-1.8128
568,1.8735
569,-4.0223
570,4.8943
571,2.5574
572,2.0665
573,0.3315
574,4.3463
575,-3.7053
576,-1.1442
577,5.536
578,-2.8381
579,-2.3557
580,-5.1473
581,-0.0802
582,-0.2302
583,0.1174
584,3.345
585,-1.5664
586,-0.5944
587,5.0094
588,-0.4189
589,-2.6768
590,-3.6062
591,1.8514
592,4.9789
593,0.3457
594,0.0064
595,0.9821
596,1.9038
597,2.379
598,-1.494
599,-3.4212
600,3.4006
601,-0.0932
602,1.1166
603,-0.0493
604,0.0093
605,-0.8908
606,-0.0249
607,2.0265
608,-0.5507
609,-0.9713
610,-0.5204
611,0.6919
612,-0.7576
613,1.8915
614,-0.2871
615,-1.6786
616,-0.7953
617,-0.4594
618,-0.8606
619,2.4676
620,0.4879
621,1.3376
622,-3.6451
623,-0.0554
624,3.8568
625,-0.4093
626,0.5418
627,0.3775
628,-0.0326
629,1.6192
630,-0.0169
631,3.0408
632,2.0825
633,-0.4884
634,1.9776
635,1.2392
636,-0.9633
637,1.1992
638,-4.2809
639,-0.9791
640,-1.5176
641,0.8475
642,-1.5425
643,2.0064
644,-1.2439
645,-1.5041
646,-3.5734
647,-0.1246
648,0.5432
649,-0.9004
650,1.9192
651,0.1633
652,1.5435
653,-4.5633
654,0.0678
655,1.118
656,0.8436
657,1.4079
658,-1.584
659,1.4204
660,-3.158
661,-0.7142
662,4.0817
663,0.4908
664,4.8923
665,3.6734
666,0.29
667,2.3521
668,0.4169
669,0.5517
670,-2.4282
671,0.4761
672,4.8535
673,-0.828
674,0.7899
675,-2.1772
676,0.8086
677,-2.6349
678,-1.7281
679,-2.01
680,-0.0336
681,-4.0941
682,-1.0998
683,-3.254
684,-4.9002
685,-1.8718
686,0.7828
687,2.2373
688,-0.3363
689,-2.6302
690,1.0596
691,2.612
692,-1.7056
693,-1.8738
694,-2.1202
695,-4.7955
696,-0.2106
697,3.0507
698,1.8558
699,0.3326
700,2.2295
701,-0.3123
702,-0.1625
703,0.7433
704,1.2868
705,1.6431
706,1.0886
707,-1.0525
708,2.9577
709,-0.5053
710,2.0984
711,1.4956
712,-0.5571
713,2.4094
714,1.0284
715,3.1254
716,3.2296
717,4.4404
718,0.0184
719,-0.9627
720,-0.8868
721,-3.0135
722,1.5716
723,-1.7364
724,-0.2347
725,1.5753
726,-4.2473
727,-5.3456
728,1.8097
729,-3.2927
730,-1.4078
731,-1.0076
732,-2.554
733,-0.1125
734,-0.6836
735,0.5237
736,-2.4702
737,-2.1297
738,-0.7376
739,1.5171
740,-1.2285
741,0.3354
742,0.4752
743,-1.2133
744,-1.2724
745,0.2775
746,-1.8511
747,1.1978
748,-0.6235
749,-1.5635
750,3.4335
751,-0.2454
752,-4.2824
753,-3.5538
754,5.1682
755,0.1706
756,2.175
757,-2.0112
758,-2.7112
759,-1.0223
760,-1.12
761,1.2753
762,-0.531
763,0.482
764,1.4327
765,-0.3375
766,-1.7451
767,4.0308
768,-0.4228
769,0.4959
770,-1.665
771,-0.8289
772,-3.2027
773,-0.2701
774,4.7405
775,3.3798
776,1.607
777,0.7235
778,0.2509
779,3.0914
780,-1.0579
781,2.5121
782,2.0177
783,-4.649
784,0.2105
785,1.3202
786,-3.8382
787,0.1127
788,4.4001
789,1.1319
790,-2.5345
791,0.8712
792,0.9564
793,0.4683
794,-3.8465
795,-0.6749
796,2.3795
797,0.4679
798,-5.234
799,-0.6842
800,-2.4725
801,4.5095
802,-4.0449
803,-7.2024
804,0.6319
805,0.1907
806,-4.3706
807,4.1048
808,-2.3102
809,0.4121
810,-3.2562
811,2.3823
812,1.995
813,-4.5841
814,1.0841
815,-0.3027
816,-1.8174
817,0.8571
818,4.097
819,-2.4024
820,-1.2848
821,-1.8031
822,3.2195
823,-0.6601
824,2.4502
825,0.7957
826,0.3322
827,-1.3091
828,-2.3101
829,1.7775
830,2.2941
831,-0.1405
832,-2.3203
833,0.3525
834,1.6285
835,-2.645
836,0.0448
837,-0.1007
838,-0.3179
839,1.931
840,-0.996
841,1.2626
842,-2.0597
843,-1.3675
844,1.4919
845,0.4912
846,1.9633
847,1.2025
848,0.4307
849,-2.2903
850,1.2497
851,-0.8096
852,-0.7602
853,0.2894
854,-0.2155
855,-2.5228
856,3.1913
857,0.8221
858,-2.2001
859,-0.8869
860,-0.8703
861,2.0319
862,3.4667
863,-0.745
864,1.901
865,-0.5706
866,-2.3073
867,0.9152
868,-1.4517
869,-2.9593
870,1.9078
871,4.2129
872,2.1381
873,-0.7814
874,2.5729
875,1.5636
876,-2.2543
877,-0.9404
878,0.2142
879,-4.9585
880,-0.8432
881,-1.0137
882,-1.9862
883,0.4554
884,-4.7651
885,1.7475
886,-2.3431
887,1.0118
888,-2.2498
889,-1.4696
890,1.5943
891,-2.4615
892,-0.3292
893,0.5536
894,2.8869
895,1.3895
896,-0.8488
897,-0.8318
898,-0.6328
899,-0.9665
900,-0.6548
901,0.8921
902,4.8919
903,1.6909
904,2.8081
905,3.3596
906,1.71
907,2.1923
908,2.002
909,-2.7259
910,0.2013
911,-0.4141
912,0.9363
913,0.4588
914,0.9559
915,-0.8711
916,0.6713
917,3.0113
918,1.5625
919,-1.2617
920,-1.9285
921,-2.9
922,1.7192
923,-0.8321
924,-3.4697
925,1.4107
926,0.791
927,-3.4425
928,-1.179
929,-2.0007
930,0.8981
931,0.9287
932,4.5185
933,2.7096
934,-1.7574
935,1.3011
936,-2.9438
937,1.6362
938,2.3177
939,1.8851
940,-4.4311
941,-2.82
942,-0.3523
943,-1.9732
944,2.2438
945,0.969
946,0.9653
947,1.4696
948,-5.3827
949,1.8089
950,1.2384
951,2.7601
952,-3.6635
953,-3.5449
954,8.1424
955,3.8598
956,1.4192
957,1.7686
958,-6.8415
959,-4.5581
960,-5.726
961,-5.0088
962,1.0119
963,-4.5405
964,0.5238
965,-1.4503
966,4.0695
967,-0.391
968,-2.801
969,3.6517
970,-4.8513
971,1.0614
972,10.098
973,3.4383
974,-1.6237
975,-3.7884
976,-3.7289
977,2.7862
978,0.9703
979,7.0929
980,2.666
981,4.7248
982,-5.6327
983,1.8596
984,-5.0686
985,-4.4081
986,3.5316
987,0.7499
988,10.3909
989,-2.4812
990,5.4147
991,3.4615
992,-10.5832
993,1.7026
994,-1.8632
995,-7.7603
996,0.3365
997,-1.4043
998,5.5932
999,4.3965
1000,1.126
