esc,regiao,nbnhisp,hispanico,genero,civil,exp,sind,salhora,esc_escolaridade_em_anos
12,0,0,0,0,1,26,0,11.84000015258789,
14,0,0,0,0,1,0,0,5.0,
12,0,0,0,0,1,28,0,6.5,
8,0,0,0,0,1,33,1,9.0,
12,0,0,0,0,0,0,0,3.3499999046325684,
12,0,0,0,1,1,7,0,4.5,
14,0,0,0,1,1,12,0,10.529999732971191,
9,0,0,0,0,1,47,1,3.5,
16,0,0,0,0,1,12,0,15.0,
12,0,0,0,1,0,25,0,8.5,
12,0,0,0,1,1,44,0,9.170000076293944,
9,0,0,0,0,0,33,1,9.600000381469728,
8,0,0,1,1,1,22,0,6.880000114440918,
18,0,0,0,1,1,14,0,13.949999809265137,
14,0,1,0,0,0,22,0,10.0,
12,0,0,0,1,0,41,0,3.75,
12,0,0,0,1,0,8,0,8.0,
12,0,0,0,1,1,43,0,11.670000076293944,
8,0,1,0,1,0,29,0,8.890000343322754,
12,0,1,0,0,0,6,1,4.0,
12,0,1,0,1,0,21,0,5.5,
16,0,1,0,0,0,3,0,3.3499999046325684,
12,0,0,0,1,1,40,0,10.8100004196167,
12,0,0,0,0,1,5,0,7.0,
13,0,0,0,0,1,34,1,10.0,
16,0,0,0,1,1,10,0,5.400000095367432,
12,0,0,0,1,0,10,0,7.5,
12,0,0,0,0,1,41,1,11.25,
10,0,0,0,1,1,25,1,10.0,
13,0,0,0,0,0,0,0,4.0,
18,0,0,0,0,1,14,1,13.510000228881836,
12,0,0,0,0,0,22,0,6.75,
14,0,0,0,1,1,32,0,14.289999961853027,
15,0,0,0,1,1,9,0,9.75,
12,0,0,0,1,0,0,0,3.3499999046325684,
8,0,0,0,1,0,49,0,3.400000095367432,
14,0,0,0,1,1,32,0,5.619999885559082,
12,0,0,0,0,1,7,1,7.0,
16,0,0,0,1,1,10,0,10.0,
10,0,0,0,1,0,44,1,6.099999904632568,
12,0,0,0,1,1,27,0,4.170000076293945,
12,0,0,0,1,1,16,0,4.800000190734863,
12,0,0,0,0,1,3,0,5.75,
12,0,0,0,0,1,8,0,4.75,
17,0,0,0,0,1,7,1,9.369999885559082,
12,0,0,0,1,0,8,0,5.25,
9,0,0,0,1,1,42,0,4.949999809265137,
16,0,0,0,1,1,11,0,19.3799991607666,
12,0,0,0,0,1,23,0,19.979999542236328,
12,0,0,0,0,0,4,0,4.0,
12,0,0,0,1,0,0,0,5.0,
14,0,0,0,0,1,25,0,10.579999923706056,
12,0,1,0,0,0,22,1,10.0,
14,0,0,1,1,0,15,0,7.380000114440918,
15,0,0,0,0,0,10,0,12.5,
16,0,0,0,1,0,20,0,4.0,
12,0,0,0,1,1,24,0,15.029999732971191,
12,1,0,0,0,1,12,0,16.0,
12,1,0,1,1,0,12,0,3.559999942779541,
12,1,0,1,0,0,16,0,4.5,
12,1,0,1,1,0,4,0,4.550000190734863,
12,1,0,1,1,1,43,0,3.5999999046325684,
12,1,0,0,1,1,14,0,8.0,
12,1,0,0,1,0,10,0,4.75,
12,1,0,0,0,1,2,0,6.730000019073486,
12,1,0,0,0,1,28,0,11.109999656677246,
7,1,0,0,1,1,15,0,6.0,
12,1,0,0,0,1,20,0,10.0,
12,1,0,1,1,1,30,0,11.25,
12,1,0,0,1,1,9,0,3.950000047683716,
16,1,1,0,0,1,13,0,17.5,
13,1,0,0,1,0,1,0,3.549999952316284,
16,1,0,0,0,0,8,0,6.0,
14,1,0,0,0,1,15,0,22.0,
12,1,0,0,1,0,6,0,6.25,
7,1,0,1,0,1,14,0,4.5,
13,1,0,0,1,0,28,0,10.31999969482422,
14,1,0,0,0,1,10,0,12.199999809265137,
17,1,0,0,0,0,14,0,18.15999984741211,
16,1,0,0,0,1,10,0,15.0,
13,1,0,0,1,1,10,0,8.75,
14,1,0,0,0,1,44,0,19.979999542236328,
16,0,0,0,1,0,10,1,6.670000076293945,
14,0,0,0,0,1,22,1,9.630000114440918,
11,0,0,0,0,1,18,1,5.5,
12,0,0,0,1,0,9,0,8.0,
18,0,0,0,1,1,19,0,20.0,
17,0,0,0,1,1,14,0,9.5,
16,0,0,0,1,0,6,1,11.789999961853027,
16,0,0,0,1,0,17,0,13.890000343322754,
11,0,0,0,1,1,24,0,5.5,
11,0,0,0,1,0,12,0,7.0,
12,0,0,0,1,1,38,0,9.649999618530272,
15,0,0,0,1,0,33,0,10.609999656677246,
14,0,0,0,1,1,10,0,12.0,
14,0,0,0,1,1,14,0,8.5600004196167,
14,0,0,0,0,0,16,0,16.139999389648438,
11,0,0,0,0,0,11,0,3.75,
16,0,1,0,1,1,6,0,9.0,
12,0,1,0,1,1,33,0,13.119999885559082,
16,0,0,0,0,0,10,0,13.199999809265137,
12,0,0,0,0,0,19,0,9.25,
12,0,0,1,0,0,4,0,5.0,
17,0,0,0,1,0,3,1,6.0,
12,0,0,0,1,1,32,0,7.0,
8,0,0,0,0,1,19,0,4.699999809265137,
16,0,0,0,1,1,22,0,7.5,
18,0,0,0,0,1,33,0,7.0,
18,0,0,0,0,1,19,0,11.220000267028809,
18,0,0,0,0,1,3,0,5.710000038146973,
12,0,0,0,0,1,12,0,5.5,
12,0,0,0,0,1,16,0,9.0,
12,0,0,0,1,1,4,0,4.130000114440918,
12,0,0,0,0,1,11,1,10.0,
12,0,0,0,0,1,17,0,7.5,
11,0,0,0,0,0,16,0,3.650000095367432,
12,0,0,0,0,1,18,0,8.890000343322754,
18,0,0,0,0,1,15,0,18.0,
14,0,1,0,0,0,0,0,3.3499999046325684,
16,0,1,0,0,0,8,0,13.449999809265137,
16,0,0,0,0,1,17,0,22.5,
18,0,0,0,0,0,13,0,19.0,
12,0,0,0,1,1,18,0,8.930000305175781,
11,0,1,0,1,1,16,0,7.0,
14,0,0,0,1,0,24,0,4.170000076293945,
12,0,0,0,0,1,23,0,9.829999923706056,
12,0,0,0,0,0,1,0,6.670000076293945,
12,0,0,0,1,1,10,1,7.0,
12,0,0,0,1,1,42,0,3.640000104904175,
18,0,0,0,1,0,37,0,22.82999992370605,
12,0,0,0,1,1,14,0,5.0,
18,0,0,0,0,1,14,0,22.5,
12,0,0,0,1,1,11,0,12.0,
12,0,0,0,1,1,38,0,6.28000020980835,
12,0,0,0,1,0,3,0,4.5,
12,0,0,0,0,1,9,0,6.0,
10,0,0,0,0,1,13,0,6.75,
12,0,0,0,0,0,9,0,8.75,
16,0,0,0,0,1,11,0,13.279999732971191,
13,0,0,0,1,1,30,0,6.25,
12,0,0,0,1,0,15,1,8.989999771118164,
14,0,0,0,0,0,2,0,7.5,
17,0,0,0,1,1,24,0,12.0,
18,0,0,0,1,0,31,1,14.0,
14,0,0,0,0,0,19,0,16.420000076293945,
14,0,0,0,0,0,2,0,6.25,
12,0,0,0,0,1,4,1,10.5,
9,0,0,0,1,1,46,1,9.5,
6,0,0,1,1,1,43,1,3.0,
14,0,0,0,1,1,13,0,9.220000267028809,
12,0,0,0,1,0,15,0,4.0,
12,0,0,0,1,0,16,0,3.799999952316284,
12,0,0,0,1,1,19,0,6.0,
12,0,0,0,1,1,28,0,5.0,
12,0,0,0,0,1,42,0,15.0,
11,0,0,0,1,0,45,1,5.550000190734863,
16,0,1,0,0,1,7,0,9.0,
17,0,0,0,0,1,31,0,24.979999542236328,
12,0,0,0,1,1,24,0,8.489999771118164,
14,0,0,1,1,1,17,0,5.0,
12,0,0,0,0,1,26,1,22.200000762939453,
16,0,1,0,0,1,5,1,9.239999771118164,
16,0,0,1,1,1,17,0,8.0,
10,1,0,0,1,0,33,0,3.5,
13,1,0,0,1,1,2,0,3.3499999046325684,
16,1,1,0,1,1,14,0,3.3499999046325684,
16,1,0,0,1,1,28,1,20.0,
12,1,0,0,1,0,46,0,4.0,
16,1,0,0,0,1,38,0,18.0,
13,1,0,0,1,0,0,0,4.5,
12,1,0,0,1,0,1,0,7.809999942779541,
12,1,0,0,1,1,5,0,1.75,
18,1,0,1,1,1,13,0,5.199999809265137,
10,1,0,0,0,0,19,0,8.75,
12,1,0,0,0,1,5,0,5.0,
12,1,1,0,1,1,6,0,3.75,
13,1,0,0,0,1,9,0,5.949999809265137,
12,1,0,1,0,0,7,0,4.0,
17,1,0,0,1,0,1,0,5.0,
6,1,1,0,1,0,33,0,4.619999885559082,
12,1,0,0,1,1,21,0,5.75,
18,0,0,0,0,1,29,0,24.979999542236328,
18,0,0,0,0,1,7,0,15.789999961853027,
16,0,0,0,0,0,10,0,15.5600004196167,
16,0,0,0,0,0,9,0,3.3499999046325684,
18,0,0,0,0,1,7,0,18.15999984741211,
18,0,0,0,0,0,33,1,8.0,
13,0,0,0,0,0,31,0,6.0,
18,0,0,0,0,1,5,0,17.25,
16,0,0,0,1,0,2,0,5.5,
12,0,0,0,0,0,20,0,7.650000095367432,
16,0,1,0,0,0,4,0,6.25,
12,0,0,0,1,1,45,0,6.400000095367432,
12,0,0,0,1,1,24,0,6.579999923706055,
12,0,0,0,0,1,43,0,12.5,
18,0,0,0,0,1,10,0,13.329999923706056,
12,0,0,0,0,0,3,0,5.5,
15,0,0,0,0,0,5,0,11.25,
12,0,0,0,1,0,45,0,10.619999885559082,
12,0,1,0,1,1,43,1,8.0,
17,0,0,0,1,1,26,1,10.199999809265137,
12,0,0,0,1,1,42,0,5.789999961853027,
12,0,0,0,0,1,37,0,7.300000190734863,
14,0,0,0,1,0,1,0,44.5,
13,0,0,0,1,1,14,0,10.5,
12,0,0,0,0,1,8,0,9.359999656677246,
12,0,0,0,1,1,24,0,5.199999809265137,
12,0,0,0,1,1,20,0,4.25,
17,0,0,0,1,0,13,1,15.949999809265137,
15,0,0,0,0,1,12,0,22.5,
16,1,0,0,1,1,4,0,5.0,
12,1,1,0,0,1,14,0,5.300000190734863,
18,1,0,0,0,1,14,0,6.25,
18,1,0,0,1,0,13,0,10.0,
12,1,0,0,0,1,20,0,5.5,
9,1,0,0,1,1,30,0,6.800000190734863,
12,1,0,0,1,1,28,0,3.0,
16,1,0,0,0,1,14,1,10.0,
10,1,0,0,0,0,13,0,4.849999904632568,
12,1,0,0,0,1,32,0,9.420000076293944,
15,1,0,0,1,0,26,0,6.0,
13,1,0,0,1,0,0,0,4.25,
14,1,0,0,0,1,12,1,11.020000457763672,
12,1,1,0,1,1,32,0,12.15999984741211,
12,1,0,0,0,1,12,0,8.430000305175781,
12,1,0,0,0,0,3,0,11.43000030517578,
9,1,0,0,0,1,29,0,19.979999542236328,
14,1,0,0,1,0,10,0,6.880000114440918,
12,0,0,0,1,1,16,1,5.710000038146973,
12,0,0,0,1,1,8,0,3.3499999046325684,
9,0,0,0,1,1,16,0,4.849999904632568,
12,0,0,0,1,1,15,0,5.75,
12,0,0,0,1,1,18,0,5.400000095367432,
12,0,0,0,1,1,38,0,13.15999984741211,
12,0,0,0,1,1,13,0,11.31999969482422,
13,0,0,0,0,1,18,0,8.75,
12,0,0,0,0,1,19,1,12.220000267028809,
10,0,0,0,0,1,15,0,5.25,
14,1,0,0,0,0,5,0,5.559999942779541,
12,1,0,0,1,1,36,0,4.590000152587891,
12,1,0,0,0,1,38,0,7.5,
12,1,0,0,0,0,5,0,12.0,
12,1,0,0,0,1,35,1,16.0,
11,1,1,0,0,0,3,0,3.3499999046325684,
10,1,0,0,0,0,27,0,4.449999809265137,
12,1,0,0,1,1,29,0,4.25,
10,1,1,0,1,1,38,0,13.100000381469728,
10,1,0,0,0,1,9,0,7.0,
6,1,0,0,0,1,45,0,5.75,
8,1,0,0,0,1,27,0,6.5,
12,1,1,0,0,1,20,0,7.610000133514404,
16,1,0,0,0,1,14,1,20.5,
12,1,0,0,0,0,1,0,6.25,
11,1,1,0,1,1,25,0,3.839999914169312,
14,1,0,0,0,1,21,0,16.649999618530273,
17,0,0,0,1,0,10,0,11.25,
14,0,0,0,0,0,2,0,5.650000095367432,
11,0,0,0,0,0,17,0,6.5,
12,0,0,0,1,1,24,0,7.75,
12,0,0,0,0,1,26,1,6.929999828338623,
12,0,0,0,0,1,39,1,15.0,
7,0,1,0,0,1,42,1,7.0,
7,1,0,0,0,1,43,0,3.3499999046325684,
12,1,0,0,0,0,5,0,6.5,
16,1,0,1,1,1,7,0,6.25,
13,1,0,0,1,1,6,0,5.0,
13,1,1,0,1,0,1,0,3.450000047683716,
14,1,0,0,0,1,41,0,8.800000190734863,
16,1,0,0,1,1,4,0,10.0,
11,1,0,0,1,1,25,1,4.0,
12,1,0,0,1,1,39,0,9.5,
14,1,0,0,1,1,15,0,10.43000030517578,
18,1,0,0,0,1,10,0,5.210000038146973,
12,1,0,0,1,0,20,0,7.5,
17,1,0,0,0,1,2,0,7.0,
11,1,1,0,0,1,28,1,10.779999732971191,
10,1,0,0,0,1,27,1,8.899999618530273,
16,1,0,0,1,0,13,0,3.75,
15,1,0,0,0,0,4,0,3.75,
12,0,0,0,0,0,13,0,9.449999809265137,
12,0,0,0,0,1,33,1,15.0,
12,0,0,0,1,0,6,0,3.5999999046325684,
18,0,0,0,0,1,23,1,12.0,
16,0,0,0,1,1,6,0,10.619999885559082,
16,0,0,0,1,1,16,0,14.0,
16,0,0,0,0,0,3,1,5.0,
12,0,0,0,0,0,19,1,11.5,
12,0,0,0,0,1,43,1,13.710000038146973,
12,1,0,0,0,1,34,0,10.619999885559082,
12,1,0,0,1,0,25,0,7.449999809265137,
10,1,1,0,0,1,41,1,6.75,
17,1,1,0,1,0,6,0,5.869999885559082,
12,1,1,0,0,0,2,0,3.430000066757202,
8,1,1,0,1,1,37,0,4.349999904632568,
12,1,1,0,0,1,19,1,13.0,
10,1,1,0,1,1,37,0,3.509999990463257,
13,1,0,0,0,0,8,0,4.300000190734863,
18,1,0,0,0,1,12,0,5.849999904632568,
12,0,0,0,0,0,8,0,6.0,
16,0,0,0,0,1,13,1,11.0,
13,0,0,0,0,0,32,0,21.25,
16,0,0,0,0,1,18,0,14.529999732971191,
12,0,1,0,0,0,8,0,6.849999904632568,
16,0,0,0,1,1,7,0,10.0,
16,1,0,0,1,0,5,0,24.979999542236328,
12,1,0,0,1,1,17,0,3.75,
11,1,0,0,0,1,39,0,6.5,
12,1,0,0,0,0,4,0,5.0,
8,1,0,0,1,0,45,0,4.550000190734863,
12,0,0,0,0,0,8,0,6.5,
16,0,0,0,0,0,9,0,10.579999923706056,
12,0,0,0,0,1,23,0,9.5600004196167,
16,0,0,0,1,1,14,0,12.0,
12,0,0,0,1,0,16,0,8.5,
12,0,0,0,1,1,15,0,4.099999904632568,
12,0,0,0,1,0,15,0,4.5,
16,0,0,0,0,1,16,0,11.5,
14,0,0,0,0,0,13,0,8.899999618530273,
11,0,0,0,0,0,15,1,14.210000038146973,
16,0,0,0,0,1,11,0,13.649999618530272,
18,0,0,0,1,0,40,0,22.200000762939453,
18,0,0,0,1,1,11,0,15.0,
13,1,0,0,0,1,17,0,8.0600004196167,
12,1,0,0,0,1,12,0,6.75,
11,1,1,0,0,1,14,0,4.5,
12,1,0,0,1,1,26,0,7.0,
12,1,1,0,1,1,27,0,7.5,
12,1,0,0,1,1,16,0,7.5,
12,1,1,0,0,0,2,0,8.5,
7,1,0,0,0,1,44,0,8.0,
8,1,0,1,0,1,8,0,3.5,
12,1,0,0,0,1,9,0,12.5,
12,1,0,1,0,0,1,1,6.0,
16,1,0,0,1,0,2,0,5.25,
12,1,0,0,0,0,6,0,5.0,
11,1,0,0,1,1,17,0,3.5,
14,1,0,0,0,1,14,1,11.0,
12,0,0,0,0,0,3,0,7.5,
12,0,0,0,0,1,13,0,8.5,
12,0,0,0,0,0,11,0,12.5,
12,0,0,0,0,1,24,1,10.75,
12,0,0,0,1,1,14,1,12.5,
17,0,0,0,0,1,7,0,7.800000190734863,
17,0,0,0,0,1,13,0,12.0,
12,1,1,0,1,1,10,0,3.3499999046325684,
12,1,0,0,0,1,13,1,19.8799991607666,
13,1,0,0,0,1,7,0,6.0,
8,1,0,0,1,1,39,0,4.21999979019165,
14,1,0,0,1,1,6,0,3.5,
12,1,0,0,0,1,20,1,12.0,
12,0,0,0,1,1,7,0,3.3499999046325684,
12,0,0,0,0,1,20,1,9.0,
14,0,0,0,1,0,6,0,3.9800000190734863,
12,0,0,0,1,1,39,0,5.0,
16,0,0,0,0,1,15,0,12.670000076293944,
15,0,0,0,0,1,31,0,17.25,
12,0,0,0,1,0,25,0,9.5,
11,0,0,0,0,1,13,1,14.0,
12,0,1,0,0,1,8,1,8.5,
12,0,0,0,1,1,2,0,4.25,
16,0,0,0,0,1,14,0,5.800000190734863,
13,0,0,0,0,1,14,0,11.25,
18,0,0,0,1,1,18,1,12.0,
12,0,0,0,1,1,28,0,11.25,
16,0,0,0,0,1,10,1,7.5,
14,1,1,0,0,0,17,0,8.199999809265137,
12,1,0,0,1,1,14,0,4.849999904632568,
12,1,0,0,1,1,2,0,4.75,
16,1,0,0,0,1,29,0,5.5,
11,1,0,0,0,1,29,0,9.5,
12,1,0,0,1,1,14,0,9.600000381469728,
13,0,0,0,1,1,33,0,4.550000190734863,
16,0,0,0,0,1,4,0,15.729999542236328,
15,0,0,0,0,1,13,0,9.859999656677246,
14,0,0,0,1,0,24,0,10.0,
13,0,0,0,0,0,5,0,5.800000190734863,
14,1,0,0,0,0,1,0,7.53000020980835,
11,1,0,0,0,1,37,1,9.75,
11,1,0,0,0,1,18,1,13.0,
15,1,0,0,1,1,10,0,10.279999732971191,
12,1,0,0,0,1,16,1,13.449999809265137,
12,0,0,0,0,1,12,1,12.56999969482422,
14,0,0,0,1,0,4,0,8.630000114440918,
12,0,0,0,0,1,16,1,13.260000228881836,
14,0,1,0,0,1,34,1,6.849999904632568,
13,0,0,0,0,1,10,1,12.470000267028809,
14,0,0,0,0,1,17,0,7.139999866485596,
13,0,0,0,1,1,16,0,12.5,
10,0,0,0,0,1,20,0,10.0,
10,0,0,0,0,1,12,0,10.0,
12,0,0,0,0,1,30,0,8.75,
16,0,0,0,1,1,26,0,9.369999885559082,
13,0,0,0,0,1,13,0,11.109999656677246,
8,0,0,1,1,1,21,0,5.099999904632568,
11,0,1,0,0,0,3,0,7.5,
8,0,1,0,1,1,29,0,3.400000095367432,
12,0,0,0,1,1,3,0,4.5,
18,0,1,0,0,1,27,0,6.25,
12,0,0,0,0,1,33,0,20.549999237060547,
13,0,0,0,0,0,17,0,8.399999618530273,
12,0,0,0,1,1,15,0,8.0,
9,0,0,0,0,1,38,0,8.5,
12,0,0,0,0,0,9,0,3.75,
12,0,0,0,0,1,10,0,9.0,
16,0,0,0,1,0,6,0,12.050000190734863,
12,0,0,0,1,1,7,0,4.5,
9,0,1,0,0,0,16,0,4.800000190734863,
10,0,0,0,0,1,30,0,6.5,
12,0,0,0,0,1,19,0,7.690000057220459,
12,0,0,0,1,0,15,0,9.329999923706056,
12,0,1,0,0,1,12,0,5.0,
12,0,1,0,1,1,33,0,6.099999904632568,
12,0,1,0,0,0,36,0,10.670000076293944,
12,0,1,0,1,0,25,0,3.5,
12,0,1,0,0,1,35,1,10.0,
13,0,1,0,0,0,8,1,9.0,
12,1,1,0,1,1,23,0,7.5,
18,1,0,0,0,0,7,0,5.710000038146973,
17,1,0,0,0,0,3,0,8.5,
12,1,1,0,0,1,8,0,4.0,
9,1,1,0,1,1,34,1,5.75,
12,0,0,0,0,0,2,0,5.25,
12,0,0,0,0,1,34,0,3.5,
11,0,0,0,0,0,2,0,4.5,
12,0,0,0,1,0,11,0,5.5,
13,0,0,0,1,1,4,0,6.25,
16,0,0,0,1,1,22,1,8.890000343322754,
12,0,0,0,1,1,45,0,5.25,
14,0,0,0,1,1,26,0,10.25,
14,0,0,0,1,1,12,0,6.25,
12,0,0,0,1,1,3,0,4.349999904632568,
13,0,0,0,0,0,36,0,17.860000610351562,
12,0,0,0,1,1,9,1,7.5,
16,0,0,0,1,1,7,0,6.25,
14,0,0,0,0,1,14,0,4.5,
12,0,0,0,1,0,6,0,6.400000095367432,
15,0,0,0,0,1,1,1,4.840000152587891,
11,0,0,0,0,1,4,0,4.150000095367432,
12,0,0,0,1,1,5,0,5.130000114440918,
8,0,0,0,1,1,38,0,5.260000228881836,
16,0,0,0,1,1,6,0,7.78000020980835,
13,0,0,0,0,0,9,1,13.06999969482422,
13,0,0,0,1,1,15,0,8.0,
15,0,0,0,1,1,11,0,7.670000076293945,
12,0,0,0,0,0,17,0,7.5,
12,0,0,0,0,0,1,0,2.8499999046325684,
12,0,0,0,0,1,9,0,6.360000133514404,
9,0,0,0,0,0,48,0,3.5,
12,0,0,0,0,1,17,1,11.350000381469728,
12,0,0,0,1,1,33,0,5.5,
12,0,0,0,0,1,7,0,9.149999618530272,
14,0,0,0,1,1,12,0,7.960000038146973,
16,0,0,0,1,1,6,0,5.650000095367432,
16,1,1,0,0,0,16,0,13.449999809265137,
11,1,0,0,1,1,8,0,3.650000095367432,
9,1,0,0,0,0,30,1,6.25,
13,1,0,0,0,0,1,1,5.150000095367432,
17,1,0,0,0,1,32,0,26.290000915527344,
13,1,0,0,0,0,0,0,2.009999990463257,
12,1,0,0,1,0,26,0,5.0,
11,0,0,0,1,0,36,0,8.75,
14,0,0,0,1,1,19,0,12.5,
12,0,0,0,0,0,12,0,4.0,
16,0,0,0,0,1,21,0,4.5,
12,0,0,0,1,0,11,0,6.5,
12,0,0,0,0,1,10,0,5.5,
17,0,0,0,1,1,15,0,6.880000114440918,
16,0,0,0,1,0,16,0,6.150000095367432,
12,0,0,0,0,1,23,0,7.78000020980835,
17,0,0,0,1,1,13,1,12.5,
14,0,1,0,1,1,19,1,8.850000381469727,
11,0,0,0,1,1,20,0,4.349999904632568,
18,0,0,0,0,0,5,0,11.359999656677246,
8,0,0,1,0,1,47,1,8.930000305175781,
11,0,0,0,1,1,33,0,3.5,
14,0,0,0,0,1,21,1,26.0,
12,0,0,0,1,1,19,0,8.0,
14,0,0,0,0,1,20,1,16.0,
12,0,0,0,1,1,13,0,5.349999904632568,
17,0,1,0,1,1,25,1,23.25,
12,0,1,0,1,1,18,0,8.630000114440918,
14,0,0,0,1,0,13,0,18.5,
18,0,0,0,0,1,8,0,22.200000762939453,
12,0,1,0,0,0,14,1,16.260000228881836,
12,0,0,0,0,0,9,0,19.46999931335449,
