mes,credito_rural,juros_reais,pib_agro,preco_soja
2015-08,108.16,7.193,122.66,149.53
2015-09,115.82,7.706,122.08,149.32
2015-10,118.42,8.053,122.79,150.46
2015-11,108.83,7.867,121.41,146.13
2015-12,111.9,8.5,120.92,144.46
2016-01,103.78,8.254,123.29,146.61
2016-02,103.73,8.392,132.4,147.06
2016-03,96.83,8.42,129.98,146.84
2016-04,101.91,8.877,130.32,148.03
2016-05,108.88,9.218,128.7,146.42
2016-06,116.38,8.336,128.08,145.55
2016-07,113.31,8.632,128.21,144.23
2016-08,120.68,8.928,129.14,143.08
2016-09,133.5,8.458,131.01,143.96
2016-10,118.27,8.775,130.92,143.58
2016-11,118.4,9.203,134.13,142.32
2016-12,122.11,8.98,132.07,140.04
2017-01,116.55,9.212,129.6,138.33
2017-02,121.09,8.96,134.89,138.28
2017-03,114.27,9.111,134.87,137.34
2017-04,126.83,8.594,138.02,139.87
2017-05,130.99,7.904,139.4,141.46
2017-06,117.9,7.695,131.81,141.98
2017-07,122.08,8.235,132.11,138.48
2017-08,136.87,8.666,132.53,136.12
2017-09,118.38,9.116,128.68,134.65
2017-10,124.49,8.848,127.9,136.61
2017-11,119.76,9.437,133.73,136.59
2017-12,108.3,9.422,129.94,134.8
2018-01,111.04,8.908,127.98,135.79
2018-02,115.81,8.557,132.28,138.37
2018-03,123.29,8.659,136.39,137.35
2018-04,118.63,8.56,134.36,139.3
2018-05,128.82,8.359,135.37,143.53
2018-06,130.43,8.848,137.74,143.02
2018-07,119.6,8.976,133.14,142.27
2018-08,130.3,9.289,136.47,142.49
2018-09,126.29,9.371,132.86,141.7
2018-10,132.26,8.965,132.79,141.39
2018-11,135.99,8.639,133.63,140.36
2018-12,129.03,9.053,134.09,139.24
2019-01,117.03,10.615,140.42,138.34
2019-02,105.08,10.947,139.81,136.3
2019-03,95.49,11.043,136.38,137.84
2019-04,104.79,10.797,137.34,139.68
2019-05,112.84,9.762,140.58,138.29
2019-06,90.07,10.224,136.36,139.34
2019-07,92.69,10.161,134.29,139.08
2019-08,104.32,10.176,141.09,137.93
2019-09,111.29,10.506,136.72,140.97
2019-10,122.73,10.94,138.7,140.9
2019-11,130.55,10.52,139.33,141.21
2019-12,120.15,10.812,138.18,143.01
2020-01,110.43,11.045,133.15,143.56
2020-02,99.32,11.212,134.97,147.28
2020-03,114.27,11.592,135.9,146.89
2020-04,108.0,11.545,140.2,146.56
2020-05,128.0,10.584,141.61,143.44
2020-06,131.42,9.969,141.28,148.35
2020-07,136.88,9.688,142.23,150.98
2020-08,140.17,9.607,144.97,147.4
2020-09,127.3,9.497,141.14,144.7
2020-10,129.92,8.914,144.59,143.58
2020-11,125.01,8.505,139.4,141.72
2020-12,135.03,8.799,143.7,140.89
2021-01,117.56,8.955,138.42,142.53
2021-02,109.76,9.197,140.56,142.01
2021-03,118.18,9.018,144.7,140.52
2021-04,123.54,9.31,143.8,141.3
2021-05,115.58,10.221,146.99,141.61
2021-06,123.03,11.126,145.26,143.11
2021-07,123.05,10.937,141.03,144.03
2021-08,130.62,11.305,140.27,144.6
2021-09,125.25,10.886,142.47,142.02
2021-10,115.33,10.936,139.4,142.69
2021-11,118.04,11.276,147.41,144.27
2021-12,111.72,11.157,145.91,146.03
2022-01,108.29,11.281,144.49,142.88
2022-02,124.89,11.329,147.29,141.63
2022-03,134.13,11.048,149.46,140.42
2022-04,128.07,10.651,147.36,142.63
2022-05,124.41,11.175,148.08,139.87
2022-06,119.66,10.753,147.91,144.31
2022-07,116.02,10.687,146.37,142.2
2022-08,122.17,10.884,146.87,142.21
2022-09,129.92,9.744,149.81,139.99
2022-10,120.2,9.786,146.98,141.29
2022-11,131.35,10.263,150.87,140.72
2022-12,124.11,10.919,149.69,141.38
2023-01,122.76,10.859,146.46,138.88
2023-02,119.05,10.899,147.73,142.27
2023-03,125.16,10.47,150.81,143.42
2023-04,128.6,10.483,152.45,145.52
2023-05,133.3,11.025,154.5,143.15
2023-06,123.41,10.775,150.86,140.68
2023-07,146.01,10.81,152.81,140.76
2023-08,137.45,10.57,148.69,143.18
2023-09,136.4,10.266,148.39,145.26
2023-10,130.28,9.877,149.05,143.26
2023-11,127.77,10.255,150.61,145.76
2023-12,115.35,10.599,149.98,140.24
2024-01,122.49,10.12,152.93,140.76
2024-02,122.74,10.179,151.5,141.15
2024-03,136.0,9.902,159.4,144.14
2024-04,127.92,9.936,155.39,142.86
2024-05,113.79,10.3,158.14,145.3
2024-06,103.51,10.067,159.5,143.11
2024-07,108.41,10.058,156.59,144.49
2024-08,107.84,9.412,157.46,148.52
2024-09,117.65,9.276,153.92,146.65
2024-10,103.43,9.464,153.84,150.37
2024-11,92.55,9.866,152.99,150.24
2024-12,100.02,10.412,156.42,150.35
2025-01,120.28,9.737,161.65,148.75
2025-02,115.87,9.808,160.18,147.58
2025-03,131.91,9.618,159.7,145.24
2025-04,130.01,9.79,156.68,143.12
2025-05,123.67,9.422,148.31,144.12
2025-06,135.79,9.576,150.73,143.74
2025-07,129.34,9.534,156.68,137.75
2025-08,134.97,9.933,158.65,137.99
