obs,alimentacao,gasto_total
173,3375,56579.0
174,1365,31654.5
175,4130,86576.75
176,7969,27051.25
177,1066,10477.2001953125
178,1040,11177.9501953125
179,4393,49784.75
180,3809,12625.5
181,8762,44817.0
182,1157,15757.75
183,2015,21396.0
184,1612,5590.2001953125
185,2661,40538.0
186,1300,38834.25
187,3731,32693.400390625
188,7345,47330.0
189,2509,17823.099609375
190,7030,92956.5
191,6910,44439.0
192,3935,27187.69921875
193,3445,22972.25
194,5509,40019.5
195,2366,33067.30078125
196,3412,24561.900390625
197,1365,8407.900390625
198,3304,36087.75
199,1456,8822.75
200,793,8022.2001953125
201,2408,36394.5
202,2280,14522.650390625
203,3685,49188.25
204,3432,19743.80078125
205,845,17536.400390625
206,3036,32455.5
207,4640,38399.75
208,2327,6451.2001953125
209,3197,31765.5
210,1265,24726.5
211,4473,60013.25
212,3744,15664.0
213,845,17356.19921875
214,6260,50481.75
215,3783,20752.25
216,7709,28047.5
217,1885,10932.0
218,2869,35336.75
219,2091,18755.0
220,2366,6572.25
221,2300,16065.2001953125
222,8073,67257.3984375
223,2499,36302.5
224,4498,14845.599609375
225,6171,50467.5
226,2860,27236.94921875
227,2119,7165.2001953125
228,2148,38067.0
229,1287,22040.0
230,2210,23794.0
231,8255,106031.796875
232,6045,19303.0
233,6564,63933.5
234,1670,16818.0
235,2779,11621.0
236,4556,40565.75
237,2886,14921.0
238,2556,15188.2001953125
239,457,28087.19921875
240,884,21025.75
241,5270,38907.0
242,2258,39726.75
243,4420,49794.0
244,2994,49112.25
245,1339,6885.75
246,3406,31673.5
247,3185,25053.0
248,2464,23835.25
249,3055,12159.7998046875
250,3605,45639.75
251,637,7898.2001953125
252,4892,107065.296875
253,4402,58205.5
254,1833,8270.0
255,6617,69528.5
256,5085,25776.0
257,1799,57741.5
258,4940,18455.5
259,2120,53523.0
260,3055,27513.69921875
261,2275,14088.75
262,1173,7291.0
263,767,4727.25
264,2210,7319.2001953125
265,3939,22649.5
266,2353,8461.7001953125
267,2405,14980.0
268,4797,39084.5
269,2808,13626.650390625
270,1404,14997.75
271,3084,29686.0
272,3850,22750.0
273,8213,25486.849609375
274,1775,40127.0
275,2188,22843.75
276,1027,7597.0
277,2688,19264.75
278,670,14868.5
279,2899,33009.75
280,5525,74958.25
281,8983,30320.099609375
282,1690,16602.150390625
283,4456,36375.6484375
284,4384,16467.19921875
285,2678,26946.0
286,6409,26870.0
287,4745,33432.5
288,2613,61133.5
289,4420,20120.5
290,4769,58389.25
291,2795,61594.0
292,3250,24149.5
293,4524,32593.900390625
294,1542,20176.5
295,637,3132.89990234375
296,6630,22330.0
297,1976,16905.0
298,5239,25052.75
299,2626,10836.7001953125
300,1313,20806.5
301,2831,6647.2998046875
302,1380,29695.5
303,8710,34457.0
304,5044,78286.25
305,2548,21551.25
306,1865,26533.19921875
307,1235,52236.5
308,3637,58745.25
309,4030,19606.5
310,4160,25062.0
311,5180,23823.0
312,4460,108755.796875
313,3835,12066.599609375
314,5395,28813.0
315,416,17803.19921875
316,1068,35794.5
317,4693,20859.5
318,2509,14306.9501953125
319,3965,11990.5
320,9370,71408.546875
321,4605,74111.0
322,2795,25916.25
323,2329,25914.25
324,2132,14091.5
325,2675,24780.0
326,2244,43417.25
327,1950,12767.400390625
328,6268,43918.5
329,2965,28204.5
330,2819,34075.0
331,6110,68172.75
332,4555,28509.0
333,6836,78760.25
334,4341,52328.75
335,3110,31857.75
336,4842,54088.0
337,1625,6670.2001953125
338,4095,29371.0
339,3120,30065.900390625
340,4370,16553.5
341,910,13865.5
342,1239,13805.5
343,8840,40503.5
344,4498,49841.25
345,4620,19729.0
346,4030,30881.25
347,3283,35484.0
348,2535,11372.7998046875
349,2089,10624.2998046875
350,1261,7543.5
351,2447,49465.25
352,2951,12499.2998046875
353,2964,18315.849609375
354,5746,27962.75
355,3991,31601.0
356,2697,52242.5
357,5137,48926.75
358,5040,42338.5
359,4531,34707.25
360,1306,13034.0
361,1781,9452.0
362,6864,69461.25
363,4361,64335.25
364,1365,9963.7001953125
365,1794,8993.25
366,1794,11217.2001953125
367,8810,116262.0
368,2405,16693.0
369,1131,28621.75
370,2080,35250.5
371,1143,8587.2998046875
372,2458,28413.5
373,3730,15552.150390625
374,8170,49459.5
375,4160,57720.5
376,1690,16397.5
377,3250,20597.150390625
378,3525,28591.75
379,2212,13795.0
380,3910,19533.900390625
381,5890,37064.75
382,4590,22847.19921875
383,3419,10679.0
384,2600,37552.1484375
385,5205,63611.0
386,2405,12023.400390625
387,2298,19658.75
388,3965,16040.25
389,5325,63519.0
390,2710,56896.75
391,4804,55381.0
392,4457,44055.25
393,7670,65130.25
394,1391,8250.650390625
395,1599,4857.2001953125
396,4589,6225.0
397,5716,74197.25
398,3510,20986.0
399,4785,47412.0
400,3900,35013.6015625
401,3926,39262.75
402,1560,19486.0
403,1775,22648.0
404,2795,7826.0
405,7645,52697.44921875
406,1365,9195.900390625
407,2496,31890.0
408,2756,8835.7001953125
409,8325,62722.5
410,2548,60813.5
411,3445,42017.75
412,3900,20671.25
413,1560,7444.2001953125
414,1950,21584.19921875
415,2002,13213.2001953125
416,4355,23959.0
417,2080,16394.0
418,2288,21741.75
419,7007,71587.0
420,3445,16865.80078125
421,3899,63788.0
422,2444,39375.25
423,3746,37087.3984375
424,4212,9370.0
425,2600,37439.75
426,4745,10665.5
427,5310,60303.75
428,4745,34390.75
429,6395,55987.75
430,2704,9921.0
431,312,11709.4501953125
432,7344,69197.5
433,11114,49491.1484375
434,4566,39201.1484375
435,3068,10065.0
436,4442,32062.75
437,2080,10380.0
438,6110,18818.400390625
439,4835,35576.0
440,810,15694.75
441,1687,30335.599609375
442,5801,74992.75
443,4485,48088.94921875
444,2413,24255.44921875
445,7225,56062.75
446,3159,11931.5
447,2015,23250.5
448,1521,9537.2001953125
449,1820,7757.2001953125
450,3328,67473.0
451,2444,44948.5
452,3445,11842.0
453,2054,12680.7001953125
454,5826,36155.69921875
455,5108,71957.25
456,1583,37575.5
457,4355,36119.75
458,8343,53232.25
459,3211,6742.75
460,4497,36141.5
461,11584,62565.3984375
462,5805,49525.0
463,5759,33160.8984375
464,1650,28271.75
465,2020,24178.69921875
466,3933,15227.2001953125
467,6344,46151.0
468,2011,32764.25
469,4586,32373.75
470,3593,22461.75
471,3575,9593.0
472,3055,9442.4501953125
473,7144,13202.0
474,4030,24634.25
475,2928,35283.5
476,5655,44800.0
477,2093,11043.900390625
478,4953,45654.5
479,2379,5501.89990234375
480,4134,18123.5
481,2015,18007.0
482,5135,39302.75
483,1859,14012.25
484,3865,26558.05078125
485,2470,10926.400390625
486,2753,25389.19921875
487,3187,16446.900390625
488,2249,8720.2001953125
489,2080,12976.5
490,1690,12941.75
491,4603,25020.0
492,1514,6430.2001953125
493,3808,18918.5
494,1385,24916.25
495,3458,55667.19921875
496,4345,51081.25
497,4052,99833.75
498,8912,31840.0
499,5979,147498.296875
500,2979,27912.75
501,2349,40044.25
502,3484,24278.150390625
503,995,41614.25
504,4264,50037.5
505,4684,54306.75
506,4436,27598.0
507,2119,18022.25
508,5935,34788.75
509,2730,24502.80078125
510,5900,51856.25
511,1833,12160.2001953125
512,1690,19106.75
513,3415,40844.5
514,2301,46170.75
515,3835,66460.3984375
516,2665,22241.25
517,1052,15245.0
518,3510,10925.2998046875
519,2214,17671.400390625
520,650,5666.2001953125
521,2236,25304.900390625
522,1820,9394.0
523,2353,20356.94921875
524,6045,32948.0
525,793,7942.4501953125
526,1443,14554.900390625
527,5236,24012.25
528,3200,25235.25
529,1768,17291.94921875
530,2714,81645.75
531,3765,46737.3984375
532,1950,15011.9501953125
533,5565,49860.5
534,2539,10012.0
535,2739,15075.5
536,3185,7693.0
537,3259,18512.5
538,5066,46292.75
539,5109,50769.5
540,2205,36122.25
541,3133,25598.150390625
542,1454,8632.75
543,2350,15567.5
544,3965,16954.0
545,6013,47035.94921875
546,1664,38076.1484375
547,3034,18458.400390625
548,1795,8092.2001953125
549,1622,38576.25
550,2355,28692.0
551,1163,27210.5
552,2142,37484.75
553,3518,15161.75
554,3445,32967.75
555,4185,55021.25
556,1478,7059.7001953125
557,1157,16714.25
558,8200,34580.75
559,2015,14939.2001953125
560,1573,27056.400390625
561,4719,15089.75
562,4681,56905.0
563,4862,29527.75
564,2735,21281.75
565,7220,39487.0
566,5590,24239.19921875
567,4005,35465.94921875
568,5156,21981.75
569,1814,10334.2001953125
570,1950,15132.5
571,7319,41591.0
572,2340,23260.25
573,1690,12882.0
574,5720,32149.0
575,5116,16219.400390625
576,3627,41605.25
577,1209,8346.2001953125
578,1729,8549.0
579,4385,23818.25
580,6725,36216.75
581,3664,42765.5
582,1573,11238.900390625
583,5439,59531.6015625
584,3490,31806.0
585,5477,52217.75
586,5960,73117.8984375
587,3515,31701.0
588,1856,32760.5
589,2878,18744.650390625
590,2737,17948.5
591,4316,8016.5
592,3172,12833.0
593,2509,25582.80078125
594,2961,36467.5
595,2860,8706.2001953125
596,8588,94586.5
597,2804,42899.5
598,7410,74297.6484375
599,3965,17201.0
600,3499,25618.0
601,2925,14887.900390625
602,4082,16308.0
603,15053,75042.75
604,2854,68056.0
605,7510,50796.75
606,4562,15956.400390625
607,2808,13820.0
608,2682,13985.2001953125
609,4100,22742.25
610,3732,17691.75
611,1582,30214.0
612,6675,57581.75
613,1521,17272.69921875
614,5496,31885.19921875
615,2340,14307.0
616,2365,22597.0
617,3628,46388.75
618,1846,23365.5
619,3094,35127.8984375
620,5903,51768.5
621,1594,9251.2001953125
622,5509,35662.5
623,2353,34473.75
624,2157,18748.099609375
625,1664,60090.5
626,1898,31137.0
627,3640,14366.099609375
628,4511,25346.69921875
629,3650,32174.75
630,1222,16064.75
631,2171,16672.0
632,5621,45191.75
633,3940,42039.19921875
634,2805,19664.650390625
635,4368,24932.5
636,4308,29570.25
637,5304,23399.75
638,1261,13517.25
639,2600,23993.25
640,1248,18140.25
641,1430,9545.2001953125
642,1742,16041.5
643,4745,24424.80078125
644,2231,28400.25
645,4290,25034.75
646,2217,28316.19921875
647,6435,19001.25
648,946,27203.25
649,1027,8016.25
650,1900,15198.5
651,1365,14068.75
652,1690,12037.0
653,3185,30454.75
654,2093,13876.900390625
655,3380,10696.2001953125
656,4628,11010.0
657,5850,41383.5
658,5888,37240.75
659,4288,38327.5
660,2585,54433.75
661,1518,27174.19921875
662,1417,14015.4501953125
663,2847,27353.5
664,2046,12944.2001953125
665,4940,19718.25
666,3690,21557.5
667,2730,22239.0
668,4134,31075.75
669,2585,32940.0
670,3033,17809.650390625
671,1658,13462.0
672,3660,16122.25
673,1951,20417.25
674,5967,36204.5
675,1281,9871.25
676,2119,11891.75
677,3438,50736.75
678,3029,32511.19921875
679,2145,29766.5
680,3943,17032.30078125
681,4011,40275.75
682,2816,24004.900390625
683,4160,33884.25
684,4095,16278.0
685,2236,11325.5
686,1683,7187.2001953125
687,8178,50433.5
688,6209,70435.5
689,2127,38352.5
690,4545,27723.150390625
691,4550,32810.5
692,3224,14833.2001953125
693,5330,28464.5
694,4709,83157.5
695,2771,18866.44921875
696,2535,21823.25
697,7085,39124.75
698,4599,45372.25
699,5265,33933.0
700,1326,29468.75
701,9523,79147.0
702,3649,24190.0
703,1772,37006.75
704,1066,4259.14990234375
705,3045,41346.25
706,6695,25087.400390625
707,2275,27216.25
708,3755,32779.5
709,3406,21189.75
710,3150,29067.0
711,3510,11316.099609375
712,5648,36103.19921875
713,3071,15389.0
714,910,27257.25
715,3484,26050.5
716,2847,22852.75
717,2015,10551.0
718,1495,6660.7001953125
719,3380,15878.0
720,6240,17131.25
721,2017,18219.5
722,2340,12045.400390625
723,2288,10572.900390625
724,4066,34645.0
725,2809,19516.650390625
726,5105,13932.599609375
727,3289,14451.7001953125
728,3302,33694.0
729,1989,35605.0
730,3858,48376.0
731,3055,19567.400390625
732,4680,35761.6484375
733,5744,12930.599609375
734,1482,6286.0
735,5376,25321.099609375
736,2730,22167.25
737,5109,24243.0
738,6240,19433.25
739,3380,26851.650390625
740,3809,25802.0
741,5460,26646.75
742,3355,26422.75
743,2932,11536.5
744,2223,16011.2001953125
745,7545,56547.25
746,4510,22690.05078125
747,2427,20391.19921875
748,2432,10487.2001953125
749,1794,16993.900390625
750,4355,25689.5
751,3367,19259.5
752,5709,57525.25
753,2127,17801.5
754,3185,28134.75
755,2795,14364.75
756,2589,21640.19921875
757,3892,20817.0
758,2362,55771.19921875
759,3115,31693.25
760,3215,31859.25
761,3581,27495.900390625
762,2455,39715.25
763,3328,22774.650390625
764,5770,27933.25
765,3770,58874.75
766,6850,39133.0
767,3237,7603.60009765625
768,2509,29409.0
769,4686,29295.5
770,5377,44376.75
771,1405,33106.5
772,3874,21234.5
773,2954,59128.5
774,2340,33427.0
775,2886,10164.0
776,3757,14594.75
777,962,4744.2001953125
778,4859,49673.75
779,4166,27826.75
780,3874,48830.44921875
781,3497,36195.94921875
782,3442,24978.5
783,4810,47800.25
784,5058,108752.0
785,3075,52299.5
786,3835,38342.5
787,4663,19381.0
788,3991,35880.5
789,6123,43687.69921875
790,3250,32937.8984375
791,4251,13341.25
792,5530,29296.5
793,5074,38602.5
794,2625,30201.75
795,4095,14797.150390625
796,2951,38528.55078125
797,5245,29055.0
798,3445,61303.0
799,2730,27108.94921875
800,7800,53495.5
801,2171,16665.25
802,6501,65132.25
803,2173,23903.30078125
804,5175,36095.75
805,2439,21246.599609375
806,3352,42292.0
807,1312,11176.0
808,1651,7542.2001953125
809,0,15210.4501953125
810,1352,5288.5
811,5624,58444.25
812,2970,33295.25
813,2665,30455.75
814,6472,60595.25
815,5915,59623.75
816,5046,19641.5
817,2051,13317.4501953125
818,1963,9261.7001953125
819,1937,17610.75
820,4613,35078.5
821,3050,45469.0
822,8855,59509.75
823,4559,26852.099609375
824,2249,51484.25
825,2769,20194.75
826,5536,27750.75
827,1109,33555.25
828,3900,27692.25
829,3980,70406.75
830,1716,18102.0
831,4002,130773.296875
832,1875,16636.75
833,7072,60462.75
834,739,11653.2001953125
835,1820,19274.5
836,5043,47114.0
837,2213,6117.2001953125
838,1861,29644.75
839,5200,57846.25
840,4041,51033.25
841,1379,11790.0
842,3185,24970.25
843,3471,32390.5
844,2737,19277.75
845,4355,27778.0
846,2899,19595.5
847,2379,17761.0
848,5685,56883.5
849,8775,66230.25
850,4539,40616.5
851,5519,80494.5
852,1883,27704.0
853,6225,22815.150390625
854,1642,23390.0
855,3180,18091.80078125
856,1675,13037.0
857,3321,27953.69921875
858,3315,6979.0
859,1872,6941.60009765625
860,3835,46155.44921875
861,2266,34240.25
862,2665,24484.0
863,3250,22375.0
864,4414,45915.6015625
865,4940,32787.94921875
866,5079,28016.75
867,5811,31922.19921875
868,4594,25357.25
869,2108,7313.60009765625
