municipio,gasto_saude_pc,populacao_mil,pib_mil,receita_pc,perc_idosos
MT-101,1239.13,2.83,49.0,4.203,12.9
MT-102,1119.04,6.38,141.2,4.269,9.7
MT-103,1301.51,10.6,175.8,4.585,9.5
MT-104,965.75,6.94,89.2,3.928,12.6
MT-105,856.74,80.2,1523.7,4.735,4.0
MT-106,1009.44,5.25,93.6,4.937,8.3
MT-107,970.49,19.29,407.2,4.697,7.4
MT-108,1041.15,5.35,108.2,4.665,9.5
MT-109,1330.72,13.86,257.8,4.559,8.7
MT-110,1128.56,6.22,115.2,4.933,11.7
MT-111,1257.89,6.55,121.8,4.941,11.9
MT-112,822.79,54.44,878.7,4.418,6.1
MT-113,1083.83,6.95,101.4,4.526,12.6
MT-114,1047.35,60.05,941.5,4.38,6.0
MT-115,1291.12,4.55,81.4,4.336,12.9
MT-116,930.62,6.05,73.1,4.363,11.2
MT-117,1236.49,31.73,533.1,4.403,7.3
MT-118,1255.67,2.0,30.4,4.086,14.7
MT-119,1075.37,2.0,35.7,4.036,13.5
MT-120,1118.44,10.09,158.3,4.666,8.6
MT-121,952.21,16.33,300.1,4.221,7.9
MT-122,865.78,18.06,315.0,4.13,8.3
MT-123,1193.05,7.03,161.3,4.631,12.2
MT-124,1283.35,2.17,37.1,4.666,12.6
MT-125,1136.14,23.77,413.5,3.942,8.5
MT-126,830.55,15.81,288.7,4.695,6.5
MT-127,1022.54,2.99,39.1,4.323,11.8
MT-128,1076.47,10.83,162.3,3.962,11.4
MT-129,1115.78,66.99,1576.7,4.391,5.7
MT-130,1139.2,11.27,224.8,4.531,6.3
MT-131,1150.94,2.8,51.6,5.094,12.4
MT-132,968.76,6.28,138.7,4.6,10.2
MT-133,1139.48,6.68,117.5,4.797,8.5
MT-134,944.78,14.2,246.7,4.743,5.9
MT-135,988.19,25.83,444.6,3.975,5.8
MT-136,1202.59,3.65,48.2,4.212,10.1
MT-137,1267.64,4.93,106.2,4.948,12.3
MT-138,915.99,29.21,513.1,4.32,8.0
MT-139,941.4,21.69,387.6,4.851,8.8
MT-140,847.38,41.83,715.9,4.123,8.0
MT-141,1137.45,2.08,33.7,3.956,9.6
