mes,consumo_energia,preco_frango
2013-10,173.63,32.51
2013-11,175.31,33.56
2013-12,176.44,32.83
2014-01,176.64,32.52
2014-02,181.87,31.86
2014-03,183.42,30.75
2014-04,183.24,32.34
2014-05,184.46,30.69
2014-06,183.22,32.26
2014-07,181.31,31.22
2014-08,184.2,29.68
2014-09,183.24,29.58
2014-10,181.35,32.06
2014-11,183.4,31.29
2014-12,180.36,33.3
2015-01,179.65,35.04
2015-02,181.57,34.78
2015-03,181.66,36.31
2015-04,186.96,32.14
2015-05,186.48,31.21
2015-06,185.92,28.54
2015-07,187.16,28.93
2015-08,187.81,29.47
2015-09,189.73,28.77
2015-10,187.55,30.03
2015-11,190.49,31.08
2015-12,193.34,31.48
2016-01,192.86,33.16
2016-02,193.3,34.09
2016-03,191.67,32.26
2016-04,197.27,33.41
2016-05,197.43,35.09
2016-06,200.77,35.83
2016-07,197.88,34.69
2016-08,199.24,33.6
2016-09,198.6,33.16
2016-10,198.21,33.69
2016-11,196.23,32.55
2016-12,195.28,33.5
2017-01,195.2,35.99
2017-02,195.75,37.37
2017-03,194.07,38.96
2017-04,195.61,40.52
2017-05,190.45,40.51
2017-06,188.17,41.93
2017-07,192.07,43.73
2017-08,192.73,40.55
2017-09,192.51,38.8
2017-10,194.66,39.28
2017-11,196.85,40.56
2017-12,196.46,42.83
2018-01,194.52,45.5
2018-02,200.17,45.5
2018-03,198.32,44.25
2018-04,198.8,46.12
2018-05,201.16,45.62
2018-06,200.77,46.99
2018-07,198.98,46.95
2018-08,195.15,46.68
2018-09,197.69,46.53
2018-10,202.41,49.67
2018-11,206.36,50.18
2018-12,209.12,51.59
2019-01,211.56,50.62
2019-02,214.71,48.91
2019-03,216.82,49.61
2019-04,219.83,54.0
2019-05,220.79,55.83
2019-06,219.77,56.43
2019-07,221.2,56.94
2019-08,222.5,56.32
2019-09,223.47,56.03
2019-10,224.3,53.2
2019-11,224.2,54.68
2019-12,226.26,56.16
2020-01,227.48,55.85
2020-02,227.12,55.16
2020-03,228.01,53.49
2020-04,225.65,56.25
2020-05,228.11,56.91
2020-06,230.25,59.23
2020-07,229.32,59.94
2020-08,229.3,60.85
2020-09,231.55,61.19
2020-10,231.89,62.56
2020-11,235.62,63.07
2020-12,240.13,63.62
2021-01,240.78,63.89
2021-02,241.05,61.24
2021-03,240.33,58.73
2021-04,241.02,55.93
2021-05,242.23,57.44
2021-06,238.32,56.43
2021-07,239.91,55.53
2021-08,243.93,55.75
2021-09,245.38,58.47
2021-10,245.8,60.66
2021-11,249.58,60.18
2021-12,253.39,58.61
2022-01,254.77,54.62
2022-02,252.22,57.48
2022-03,257.77,59.17
2022-04,258.29,58.85
2022-05,261.07,57.31
2022-06,263.77,57.26
2022-07,266.92,57.84
2022-08,266.45,58.81
2022-09,262.22,58.35
2022-10,263.18,60.09
2022-11,262.71,62.5
2022-12,262.75,61.22
2023-01,265.85,60.9
2023-02,269.55,60.6
2023-03,272.51,63.15
2023-04,272.47,63.36
2023-05,270.64,61.8
2023-06,269.18,62.04
2023-07,266.42,61.56
2023-08,269.38,61.57
2023-09,269.34,62.6
2023-10,272.58,60.18
2023-11,275.55,62.87
2023-12,274.36,64.28
2024-01,276.7,64.76
2024-02,278.96,64.78
2024-03,280.38,63.02
2024-04,275.48,64.73
2024-05,275.77,65.49
2024-06,276.29,65.21
2024-07,279.28,65.51
2024-08,282.04,64.43
2024-09,285.55,64.54
2024-10,283.36,64.76
2024-11,283.93,65.86
2024-12,284.37,65.9
