data,dia,temperatura,chuva,panfletos,preco,vendas
2017-04-07,Sexta,15.4,7.4,44,1.2,26
2017-04-08,Sábado,17.7,7.4,37,1.2,26
2017-04-09,Domingo,17.3,6.9,52,1.2,27
2017-04-10,Segunda,14.7,7.4,48,1.2,25
2017-04-11,Terça,16.0,7.4,34,1.2,26
2017-04-12,Quarta,18.9,7.4,30,1.2,27
2017-04-13,Quinta,16.2,6.9,46,1.2,27
2017-04-14,Sexta,16.4,7.7,49,1.2,25
2017-04-15,Sábado,18.8,7.4,41,1.2,26
2017-04-16,Domingo,18.4,6.9,43,1.2,27
2017-04-17,Segunda,17.8,7.1,56,1.2,27
2017-04-18,Terça,16.9,7.4,31,1.2,25
2017-04-19,Quarta,15.4,7.7,53,1.2,26
2017-04-20,Quinta,20.1,6.9,42,1.2,27
2017-04-21,Sexta,19.5,7.4,48,1.2,27
2017-04-22,Sábado,14.2,7.7,47,1.2,25
2017-04-23,Domingo,16.0,7.7,50,1.2,26
2017-04-24,Segunda,18.4,6.9,48,1.2,27
2017-04-25,Terça,18.4,7.1,37,1.2,27
2017-04-26,Quarta,16.9,8.0,48,1.2,25
2017-04-27,Quinta,17.5,7.7,50,1.2,25
2017-04-28,Sexta,14.9,7.4,32,1.2,26
2017-04-29,Sábado,18.4,7.1,32,1.2,27
2017-04-30,Domingo,19.5,7.4,35,1.2,27
2017-05-01,Segunda,19.3,6.5,56,1.2,29
2017-05-02,Terça,18.7,6.9,40,1.2,29
2017-05-03,Quarta,21.7,6.3,55,1.2,30
2017-05-04,Quinta,21.8,6.3,64,1.2,31
2017-05-05,Sexta,20.8,7.1,31,1.2,28
2017-05-06,Sábado,19.3,6.7,51,1.2,29
2017-05-07,Domingo,20.9,6.5,49,1.2,29
2017-05-08,Segunda,23.9,6.7,56,1.2,30
2017-05-09,Terça,21.8,6.3,56,1.2,31
2017-05-10,Quarta,20.8,6.9,40,1.2,28
2017-05-11,Quinta,22.6,6.7,57,1.2,29
2017-05-12,Sexta,19.3,6.7,40,1.2,29
2017-05-13,Sábado,21.1,6.5,34,1.2,30
2017-05-14,Domingo,25.2,6.3,58,1.2,31
2017-05-15,Segunda,17.4,6.9,32,1.2,28
2017-05-16,Terça,18.7,6.7,55,1.2,29
2017-05-17,Quarta,21.5,6.7,43,1.2,29
2017-05-18,Quinta,22.2,6.7,53,1.2,30
2017-05-19,Sexta,24.1,6.1,58,1.2,31
2017-05-20,Sábado,18.0,6.7,59,1.2,28
2017-05-21,Domingo,22.1,6.9,47,1.2,29
2017-05-22,Segunda,21.7,6.7,34,1.2,30
2017-05-23,Terça,24.6,6.3,45,1.2,31
2017-05-24,Quarta,20.8,6.9,34,1.2,28
2017-05-25,Quinta,22.1,6.9,53,1.2,29
2017-05-26,Sexta,22.2,6.7,63,1.2,30
2017-05-27,Sábado,25.2,6.3,56,1.2,31
2017-05-28,Domingo,22.1,6.5,45,1.2,29
2017-05-29,Segunda,19.3,6.5,32,1.2,29
2017-05-30,Terça,23.9,6.7,43,1.2,30
2017-05-31,Quarta,25.2,6.5,56,1.2,31
2017-06-01,Quinta,21.8,6.5,42,1.2,31
2017-06-02,Sexta,26.6,5.9,48,1.2,33
2017-06-03,Sábado,27.5,5.6000000000000005,59,1.2,35
2017-06-04,Domingo,32.4,5.1,43,1.2,38
2017-06-05,Segunda,25.9,5.9,36,1.2,32
2017-06-06,Terça,29.0,5.6000000000000005,44,1.2,34
2017-06-07,Quarta,30.4,5.6000000000000005,58,1.2,36
2017-06-08,Quinta,32.6,5.0,46,1.2,39
2017-06-09,Sexta,25.3,6.1,44,1.2,32
2017-06-10,Sábado,26.4,5.4,54,1.2,35
2017-06-11,Domingo,29.3,5.300000000000001,42,1.2,36
2017-06-12,Segunda,33.9,5.0,67,1.2,40
2017-06-13,Terça,24.2,5.9,65,1.2,32
2017-06-14,Quarta,26.9,5.699999999999999,48,1.2,35
2017-06-15,Quinta,29.3,5.6000000000000005,50,1.2,36
2017-06-16,Sexta,37.4,4.699999999999999,77,1.2,41
2017-06-17,Sábado,24.6,6.5,47,1.2,31
2017-06-18,Domingo,22.6,5.9,60,1.2,32
2017-06-19,Segunda,30.3,5.6000000000000005,66,1.2,35
2017-06-20,Terça,29.5,5.4,70,1.2,37
2017-06-21,Quarta,34.6,4.699999999999999,76,1.2,41
2017-06-22,Quinta,22.4,6.5,36,1.2,31
2017-06-23,Sexta,26.6,6.1,39,1.2,33
2017-06-24,Sábado,26.9,5.699999999999999,50,1.2,35
2017-06-25,Domingo,29.5,5.1,58,1.2,37
2017-06-26,Segunda,39.2,4.699999999999999,60,1.2,42
2017-06-27,Terça,24.1,6.3,62,1.2,31
2017-06-28,Quarta,24.4,5.9,65,1.2,33
2017-06-29,Quinta,30.3,5.4,64,1.2,35
2017-06-30,Sexta,31.9,5.300000000000001,47,1.2,38
2017-07-01,Sábado,39.4,4.699999999999999,59,2.0,43
2017-07-02,Domingo,34.1,5.1,68,2.0,38
2017-07-03,Segunda,27.5,5.4,68,2.0,35
2017-07-04,Terça,29.0,5.9,49,2.0,34
2017-07-05,Quarta,23.1,6.3,55,2.0,32
2017-07-06,Quinta,33.2,5.1,46,2.0,39
2017-07-07,Sexta,28.1,5.699999999999999,41,2.0,35
2017-07-08,Sábado,28.4,5.699999999999999,44,2.0,34
2017-07-09,Domingo,25.5,5.9,44,2.0,33
2017-07-10,Segunda,36.7,4.9,66,2.0,40
2017-07-11,Terça,28.6,5.4,40,2.0,35
2017-07-12,Quarta,26.8,5.6000000000000005,39,2.0,34
2017-07-13,Quinta,26.1,6.1,49,2.0,33
2017-07-14,Sexta,33.3,5.0,80,2.0,40
2017-07-15,Sábado,28.1,5.4,56,2.0,35
2017-07-16,Domingo,26.2,5.9,50,2.0,34
2017-07-17,Segunda,27.2,5.699999999999999,64,2.0,33
2017-07-18,Terça,37.4,4.699999999999999,76,2.0,41
2017-07-19,Quarta,28.8,5.6000000000000005,44,2.0,36
2017-07-20,Quinta,30.3,5.699999999999999,44,2.0,35
2017-07-21,Sexta,24.9,5.699999999999999,59,2.0,33
2017-07-22,Sábado,37.6,4.699999999999999,49,2.0,42
2017-07-23,Domingo,31.7,5.1,72,2.0,37
2017-07-24,Segunda,28.6,5.699999999999999,69,2.0,35
2017-07-25,Terça,26.6,5.699999999999999,64,2.0,33
2017-07-26,Quarta,24.8,5.9,37,2.0,32
2017-07-27,Quinta,36.6,4.699999999999999,74,2.0,43
2017-07-28,Sexta,30.8,5.1,58,2.0,38
2017-07-29,Sábado,29.7,5.699999999999999,50,2.0,35
2017-07-30,Domingo,25.7,5.9,52,2.0,34
2017-07-31,Segunda,23.7,6.1,38,2.0,32
2017-08-01,Terça,24.2,6.3,56,2.0,32
2017-08-02,Quarta,24.6,6.3,48,2.0,31
2017-08-03,Quinta,23.9,6.3,52,2.0,30
2017-08-04,Sexta,21.5,6.9,34,2.0,29
2017-08-05,Sábado,24.8,6.1,66,2.0,32
2017-08-06,Domingo,25.2,6.1,36,2.0,31
2017-08-07,Segunda,23.9,6.7,38,2.0,30
2017-08-08,Terça,20.4,6.5,50,2.0,29
2017-08-09,Quarta,24.8,6.3,55,2.0,32
2017-08-10,Quinta,21.3,6.5,56,2.0,31
2017-08-11,Sexta,23.9,6.7,49,2.0,30
2017-08-12,Sábado,19.8,6.5,43,2.0,29
2017-08-13,Domingo,19.8,6.5,54,2.0,29
2017-08-14,Segunda,22.6,5.9,43,2.0,32
2017-08-15,Terça,23.5,6.3,44,2.0,31
2017-08-16,Quarta,21.7,6.3,49,2.0,30
2017-08-17,Quinta,20.0,6.7,42,2.0,30
2017-08-18,Sexta,18.7,6.9,45,2.0,29
2017-08-19,Sábado,26.4,6.1,58,2.0,32
2017-08-20,Domingo,23.5,6.5,53,2.0,31
2017-08-21,Segunda,20.0,6.5,58,2.0,30
2017-08-22,Terça,20.6,6.3,55,2.0,30
2017-08-23,Quarta,21.5,6.7,33,2.0,29
2017-08-24,Quinta,23.7,5.9,64,2.0,32
2017-08-25,Sexta,21.7,6.3,55,2.0,30
2017-08-26,Sábado,21.1,6.3,46,2.0,30
2017-08-27,Domingo,18.7,6.5,45,2.0,29
2017-08-28,Segunda,25.3,6.3,49,2.0,32
2017-08-29,Terça,23.9,6.5,40,2.0,30
2017-08-30,Quarta,22.2,6.3,51,2.0,30
2017-08-31,Quinta,19.8,6.9,58,2.0,29
2017-09-01,Sexta,22.1,6.9,41,1.2,29
2017-09-02,Sábado,19.7,6.9,53,1.2,28
2017-09-03,Domingo,16.2,6.9,50,1.2,27
2017-09-04,Segunda,15.4,7.4,54,1.2,26
2017-09-05,Terça,16.6,7.1,39,1.2,26
2017-09-06,Quarta,22.1,6.9,60,1.2,29
2017-09-07,Quinta,20.2,6.7,49,1.2,28
2017-09-08,Sexta,18.4,7.1,37,1.2,27
2017-09-09,Sábado,18.2,7.7,45,1.2,26
2017-09-10,Domingo,16.6,7.4,50,1.2,26
2017-09-11,Segunda,20.2,6.9,38,1.2,28
2017-09-12,Terça,16.2,7.1,36,1.2,27
2017-09-13,Quarta,18.2,7.1,42,1.2,26
2017-09-14,Quinta,17.7,7.1,29,1.2,26
2017-09-15,Sexta,17.4,6.7,41,1.2,28
2017-09-16,Sábado,20.1,6.9,37,1.2,27
2017-09-17,Domingo,15.4,7.1,53,1.2,26
2017-09-18,Segunda,18.2,7.1,37,1.2,26
2017-09-19,Terça,19.7,6.7,48,1.2,28
2017-09-20,Quarta,19.5,6.9,52,1.2,27
2017-09-21,Quinta,15.4,7.1,42,1.2,26
2017-09-22,Sexta,18.2,7.4,34,1.2,26
2017-09-23,Sábado,17.4,7.1,39,1.2,28
2017-09-24,Domingo,17.4,7.1,43,1.2,28
2017-09-25,Segunda,16.2,7.1,33,1.2,27
2017-09-26,Terça,16.6,7.7,51,1.2,26
2017-09-27,Quarta,21.5,6.7,51,1.2,29
2017-09-28,Quinta,19.7,6.9,38,1.2,28
2017-09-29,Sexta,18.9,7.1,48,1.2,27
2017-09-30,Sábado,18.2,7.4,29,1.2,26
2017-10-01,Domingo,13.6,8.0,43,1.2,25
2017-10-02,Segunda,14.7,7.4,32,1.2,25
2017-10-03,Terça,15.1,8.0,34,1.2,24
2017-10-04,Quarta,16.2,7.7,33,1.2,24
2017-10-05,Quinta,15.8,8.0,33,1.2,25
2017-10-06,Sexta,16.9,7.4,42,1.2,25
2017-10-07,Sábado,17.5,8.0,31,1.2,25
2017-10-08,Domingo,15.7,8.0,47,1.2,24
2017-10-09,Segunda,17.5,7.4,47,1.2,25
2017-10-10,Terça,14.7,7.4,51,1.2,25
2017-10-11,Quarta,16.4,7.7,47,1.2,25
2017-10-12,Quinta,14.6,7.7,39,1.2,24
2017-10-13,Sexta,16.4,8.0,28,1.2,25
2017-10-14,Sábado,15.3,7.4,28,1.2,25
2017-10-15,Domingo,16.4,7.4,36,1.2,25
2017-10-16,Segunda,14.6,8.0,28,1.2,24
2017-10-17,Terça,14.7,7.7,46,1.2,25
2017-10-18,Quarta,16.9,7.7,33,1.2,25
2017-10-19,Quinta,15.8,8.0,41,1.2,25
2017-10-20,Sexta,15.7,8.0,50,1.2,24
2017-10-21,Sábado,13.4,8.299999999999999,28,1.2,24
2017-10-22,Domingo,14.2,7.7,35,1.2,25
2017-10-23,Segunda,14.7,8.0,50,1.2,25
2017-10-24,Terça,16.4,7.4,48,1.2,25
2017-10-25,Quarta,16.2,8.0,44,1.2,24
2017-10-26,Quinta,12.3,7.7,47,1.2,24
2017-10-27,Sexta,17.1,7.1,52,1.2,26
2017-10-28,Sábado,14.2,7.7,28,1.2,25
2017-10-29,Domingo,16.4,8.0,34,1.2,25
2017-10-30,Segunda,14.6,7.7,35,1.2,24
2017-10-31,Terça,12.3,7.7,38,1.2,24
2017-11-01,Quarta,11.1,8.299999999999999,43,1.2,23
2017-11-02,Quinta,12.0,9.1,46,1.2,22
2017-11-03,Sexta,10.7,8.7,38,1.2,21
2017-11-04,Sábado,9.3,9.5,39,1.2,19
2017-11-05,Domingo,13.3,8.7,45,1.2,23
2017-11-06,Segunda,10.9,9.1,28,1.2,22
2017-11-07,Terça,11.3,9.1,34,1.2,21
2017-11-08,Quarta,7.1,9.5,37,1.2,19
2017-11-09,Quinta,12.2,8.299999999999999,33,1.2,23
2017-11-10,Sexta,12.6,8.7,28,1.2,22
2017-11-11,Sábado,8.5,9.1,33,1.2,21
2017-11-12,Domingo,9.8,10.5,38,1.2,19
2017-11-13,Segunda,7.1,10.5,26,1.2,19
2017-11-14,Terça,13.3,8.0,28,1.2,23
2017-11-15,Quarta,13.3,8.299999999999999,47,1.2,23
2017-11-16,Quinta,8.5,8.7,28,1.2,21
2017-11-17,Sexta,7.8,10.0,31,1.2,20
2017-11-18,Sábado,9.3,10.5,37,1.2,19
2017-11-19,Domingo,13.3,8.7,34,1.2,23
2017-11-20,Segunda,13.1,8.7,41,1.2,22
2017-11-21,Terça,8.3,9.5,28,1.2,20
2017-11-22,Quarta,9.3,10.0,40,1.2,19
2017-11-23,Quinta,11.1,8.7,47,1.2,23
2017-11-24,Sexta,12.0,8.299999999999999,46,1.2,22
2017-11-25,Sábado,9.4,9.1,32,1.2,20
2017-11-26,Domingo,9.8,10.5,30,1.2,19
2017-11-27,Segunda,12.2,8.7,30,1.2,23
2017-11-28,Terça,12.6,9.1,37,1.2,22
2017-11-29,Quarta,10.0,9.5,27,1.2,20
2017-11-30,Quinta,7.1,10.5,28,1.2,19
2017-12-01,Sexta,9.3,10.0,34,1.2,19
2017-12-02,Sábado,6.7,11.1,35,1.2,17
2017-12-03,Domingo,0.8,11.8,19,1.2,15
2017-12-04,Segunda,1.6,15.4,16,1.2,13
2017-12-05,Terça,-5.6,18.2,11,1.2,10
2017-12-06,Quarta,7.1,9.5,28,1.2,19
2017-12-07,Quinta,5.6,10.5,26,1.2,17
2017-12-08,Sexta,4.7,12.5,30,1.2,15
2017-12-09,Sábado,-0.4,14.3,19,1.2,14
2017-12-10,Domingo,-0.4,18.2,15,1.2,11
2017-12-11,Segunda,7.3,11.1,33,1.2,17
2017-12-12,Terça,0.8,13.3,22,1.2,15
2017-12-13,Quarta,0.1,14.3,26,1.2,14
2017-12-14,Quinta,-0.1,15.4,24,1.2,13
2017-12-15,Sexta,5.6,10.5,30,1.2,17
2017-12-16,Sábado,1.9,12.5,30,1.2,15
2017-12-17,Domingo,0.1,13.3,16,1.2,14
2017-12-18,Segunda,-0.6,14.3,27,1.2,13
2017-12-19,Terça,5.2,10.0,33,1.2,18
2017-12-20,Quarta,2.7,12.5,20,1.2,16
2017-12-21,Quinta,4.7,13.3,23,1.2,15
2017-12-22,Sexta,-0.6,15.4,17,1.2,13
2017-12-23,Sábado,5.8,11.1,20,1.2,18
2017-12-24,Domingo,2.1,12.5,26,1.2,16
2017-12-25,Segunda,1.9,12.5,19,1.2,15
2017-12-26,Terça,-1.7,14.3,23,1.2,13
2017-12-27,Quarta,5.9,10.0,33,1.2,19
2017-12-28,Quinta,3.2,12.5,32,1.2,16
2017-12-29,Sexta,4.2,12.5,17,1.2,15
2017-12-30,Sábado,-0.6,14.3,22,1.2,13
2017-12-31,Domingo,-9.4,25.0,9,1.2,7
