imovel,preco,area_m2,quartos,idade_anos,dist_centro_km,garagens
IM-170,173786,142.1,3,5.6,3.25,2
IM-171,80000,94.3,2,22.6,8.44,1
IM-172,278483,223.1,3,8.0,6.37,1
IM-173,162128,143.1,2,5.4,5.44,2
IM-174,113839,70.1,2,15.2,2.36,2
IM-175,149280,117.5,2,11.7,2.13,1
IM-176,80000,70.8,2,13.3,5.68,0
IM-177,202440,126.8,3,3.4,2.5,2
IM-178,170473,99.5,3,15.4,1.73,1
IM-179,140785,100.8,2,10.4,4.56,2
IM-180,155706,151.7,2,2.7,8.09,2
IM-181,419632,235.5,4,5.4,1.1,2
IM-182,100883,104.0,2,6.0,5.42,1
IM-183,200874,108.9,2,11.9,1.1,3
IM-184,157917,103.1,2,11.9,4.67,2
IM-185,170721,100.8,2,6.9,2.09,2
IM-186,205959,137.3,3,9.8,4.73,3
IM-187,339098,311.1,5,10.2,4.62,3
IM-188,159328,115.6,3,6.0,1.32,1
IM-189,264140,164.7,4,7.1,1.3,1
IM-190,157645,97.9,3,13.4,2.04,2
IM-191,131198,137.1,2,18.7,3.79,1
IM-192,221715,110.9,3,2.1,1.06,1
IM-193,183508,130.3,2,13.0,5.05,1
IM-194,306582,257.8,4,17.6,2.89,2
IM-195,198575,154.1,3,13.9,4.41,2
IM-196,182856,126.4,3,7.7,2.91,2
IM-197,294531,233.9,4,14.3,6.52,2
IM-198,277451,200.6,3,11.0,2.72,1
IM-199,97875,148.0,3,5.9,14.0,1
IM-200,135083,152.3,3,11.4,4.5,2
IM-201,237788,155.6,2,3.7,2.89,2
IM-202,297798,157.0,2,4.9,0.44,3
IM-203,82623,78.8,2,14.1,12.12,3
IM-204,150944,171.1,3,30.3,3.42,2
IM-205,204454,208.5,2,5.4,9.11,1
IM-206,121246,87.0,3,4.8,2.73,0
IM-207,157310,71.2,1,7.1,2.24,2
IM-208,194491,162.8,3,5.2,1.32,0
IM-209,212834,138.6,3,4.7,0.89,1
IM-210,199599,157.2,3,14.0,4.22,1
IM-211,190656,162.5,2,18.3,1.38,1
IM-212,177809,162.3,3,16.5,6.13,1
IM-213,191668,106.8,2,12.7,1.12,2
IM-214,140707,167.0,3,26.2,5.82,1
IM-215,145223,118.9,2,9.3,1.72,1
IM-216,128593,93.8,3,7.3,5.98,2
IM-217,207165,178.4,3,9.0,5.23,1
IM-218,140673,98.7,1,11.1,3.55,1
IM-219,189753,131.5,2,12.6,3.1,3
IM-220,168476,114.7,3,5.8,2.47,2
IM-221,145523,90.6,3,4.9,1.2,2
IM-222,168555,95.0,2,3.5,4.33,2
IM-223,134704,132.4,3,16.1,5.2,1
IM-224,217416,132.4,3,4.1,1.07,2
IM-225,203781,163.4,3,6.7,3.34,1
IM-226,136655,128.8,2,1.9,1.49,2
IM-227,125601,99.4,2,5.8,5.75,2
IM-228,148202,151.3,3,12.3,3.86,2
IM-229,258347,137.3,3,3.6,1.42,1
IM-230,214644,196.2,4,13.0,5.77,2
IM-231,218038,161.5,3,14.1,1.59,2
IM-232,200588,94.4,2,13.2,1.0,2
IM-233,99357,57.9,2,31.2,1.25,1
IM-234,128970,132.4,2,15.0,7.14,0
IM-235,151923,95.9,2,14.0,1.81,3
IM-236,277972,195.0,3,14.0,3.08,2
IM-237,101063,89.5,3,12.1,7.75,3
IM-238,157827,93.8,3,4.4,2.65,2
IM-239,262305,193.3,4,7.0,0.54,3
IM-240,114584,74.3,2,7.1,4.74,2
