loja,tratada,depois,empregados
89,1,1,22.3
90,1,0,20.0
90,1,1,15.3
91,1,0,20.4
91,1,1,20.3
92,1,0,15.8
92,1,1,19.5
93,1,0,20.5
93,1,1,15.9
94,1,0,24.4
94,1,1,17.7
95,1,0,19.3
95,1,1,16.3
96,1,0,19.6
96,1,1,19.2
97,1,0,15.3
97,1,1,17.1
98,1,0,11.1
98,1,1,24.0
99,1,0,22.9
99,1,1,20.5
100,1,0,15.6
100,1,1,19.0
101,1,0,20.4
101,1,1,20.5
102,1,0,17.2
102,1,1,21.6
103,1,0,18.6
103,1,1,15.7
104,1,0,17.1
104,1,1,22.0
105,1,0,19.6
105,1,1,17.9
106,1,0,10.2
106,1,1,20.1
107,1,0,17.8
107,1,1,14.8
108,1,0,12.8
108,1,1,17.6
109,1,0,17.6
109,1,1,17.7
110,1,0,17.2
110,1,1,17.6
111,1,0,18.4
111,1,1,18.5
112,1,0,17.7
112,1,1,22.3
113,1,0,20.3
113,1,1,15.3
114,1,0,19.1
114,1,1,18.6
115,1,0,18.8
115,1,1,21.0
116,1,0,15.2
116,1,1,17.6
117,1,0,20.1
117,1,1,18.1
118,1,0,18.5
118,1,1,20.8
119,1,0,18.4
119,1,1,16.4
120,1,0,24.1
120,1,1,15.6
121,0,0,18.8
121,0,1,24.4
122,0,0,21.3
122,0,1,18.1
123,0,0,17.3
123,0,1,22.7
124,0,0,16.3
124,0,1,13.8
125,0,0,20.8
125,0,1,19.4
126,0,0,23.2
126,0,1,22.6
127,0,0,19.8
127,0,1,22.3
128,0,0,23.5
128,0,1,25.0
129,0,0,19.9
129,0,1,26.2
130,0,0,16.0
130,0,1,21.2
131,0,0,21.8
131,0,1,15.7
132,0,0,17.6
132,0,1,18.5
133,0,0,16.0
133,0,1,19.5
134,0,0,20.5
134,0,1,29.7
135,0,0,21.7
135,0,1,20.3
136,0,0,18.6
136,0,1,19.0
137,0,0,21.7
137,0,1,20.6
138,0,0,19.0
138,0,1,19.0
139,0,0,25.4
139,0,1,23.4
140,0,0,22.3
140,0,1,19.8
141,0,0,17.3
141,0,1,23.5
142,0,0,20.7
142,0,1,22.3
143,0,0,16.5
143,0,1,17.7
144,0,0,17.9
144,0,1,19.7
145,0,0,25.4
145,0,1,15.7
146,0,0,16.5
146,0,1,19.0
147,0,0,26.2
147,0,1,16.8
148,0,0,21.6
148,0,1,21.1
149,0,0,26.2
149,0,1,23.2
150,0,0,23.5
150,0,1,14.1
151,0,0,22.7
151,0,1,17.5
152,0,0,13.5
152,0,1,25.2
153,0,0,17.8
153,0,1,17.9
154,0,0,20.7
154,0,1,21.7
155,0,0,19.4
155,0,1,16.7
156,0,0,23.5
156,0,1,19.9
157,0,0,22.0
157,0,1,14.6
158,0,0,23.0
158,0,1,17.8
159,0,0,25.9
159,0,1,16.2
160,0,0,19.8
160,0,1,24.4
161,0,0,19.7
161,0,1,23.6
162,0,0,19.7
162,0,1,15.8
163,0,0,25.1
163,0,1,21.5
164,0,0,16.8
164,0,1,15.2
165,0,0,28.9
165,0,1,17.7
166,0,0,23.6
166,0,1,17.8
167,0,0,22.8
167,0,1,21.3
168,0,0,25.2
168,0,1,16.8
169,0,0,26.8
169,0,1,19.8
170,0,0,26.3
170,0,1,18.1
171,0,0,19.9
171,0,1,19.3
172,0,0,23.5
172,0,1,15.0
173,0,0,20.6
173,0,1,20.5
174,0,0,16.4
174,0,1,21.8
175,0,0,23.6
175,0,1,23.4
176,0,0,17.3
176,0,1,15.2
177,0,0,23.5
177,0,1,16.8
178,0,0,21.1
178,0,1,21.8
179,0,0,18.3
179,0,1,16.8
180,0,0,23.6
180,0,1,20.7
181,0,0,22.4
181,0,1,13.9
182,0,0,20.9
182,0,1,22.9
183,0,0,21.8
183,0,1,17.2
184,0,0,24.2
184,0,1,13.7
185,0,0,19.5
185,0,1,16.8
186,0,0,21.8
186,0,1,22.7
187,0,0,18.0
187,0,1,18.3
188,0,0,23.4
188,0,1,21.4
189,0,0,21.2
189,0,1,22.4
190,0,0,17.3
190,0,1,19.0
191,0,0,20.1
191,0,1,20.8
192,0,0,19.0
192,0,1,21.3
193,0,0,23.8
193,0,1,20.5
194,0,0,18.9
194,0,1,21.2
195,0,0,18.5
195,0,1,16.4
196,0,0,19.6
196,0,1,13.5
197,0,0,24.7
197,0,1,20.4
198,0,0,22.7
198,0,1,20.0
199,0,0,20.8
199,0,1,21.8
200,0,0,22.4
200,0,1,19.8
201,0,0,20.4
201,0,1,14.9
202,0,0,26.9
202,0,1,17.3
203,0,0,20.0
203,0,1,21.2
204,0,0,17.7
204,0,1,22.2
205,0,0,23.8
205,0,1,22.4
206,0,0,22.3
206,0,1,18.9
207,0,0,27.0
207,0,1,23.5
208,0,0,29.9
208,0,1,17.6
209,0,0,27.5
209,0,1,20.9
210,0,0,18.5
210,0,1,23.8
211,0,0,20.9
211,0,1,17.1
212,0,0,24.2
212,0,1,17.3
213,0,0,21.7
213,0,1,17.4
214,0,0,19.1
214,0,1,17.5
215,0,0,21.1
215,0,1,19.0
216,0,0,22.5
216,0,1,26.6
217,0,0,17.9
217,0,1,16.1
218,0,0,15.2
218,0,1,19.4
219,0,0,16.3
219,0,1,22.0
220,0,0,22.5
220,0,1,20.8
221,0,0,15.9
221,0,1,18.0
222,0,0,27.0
222,0,1,20.2
223,0,0,19.1
223,0,1,20.6
224,0,0,17.3
224,0,1,18.5
225,0,0,19.4
225,0,1,12.1
226,0,0,16.5
226,0,1,24.0
227,0,0,23.7
227,0,1,17.5
228,0,0,18.5
228,0,1,19.5
229,0,0,20.1
229,0,1,16.9
230,0,0,15.4
230,0,1,19.1
231,0,0,21.3
231,0,1,27.2
232,0,0,22.6
232,0,1,24.8
233,0,0,19.9
233,0,1,21.8
234,0,0,21.3
234,0,1,20.3
235,0,0,22.2
235,0,1,23.1
236,0,0,25.1
236,0,1,16.2
237,0,0,16.6
237,0,1,18.1
238,0,0,21.3
238,0,1,20.6
239,0,0,21.3
239,0,1,21.4
240,0,0,21.9
240,0,1,23.9
